goterm	gene	cv	fdr
GO:0044237	HIVEP1	0.37	0.704
GO:0044237	HIVEP2	0.47	0.724
GO:0044237	NR4A1	0.42	0.186
GO:0044237	ZKSCAN2	0.42	0.348
GO:0044237	LRP1	0.43	0.107
GO:0044237	MKI67	0.62	0.000134
GO:0044237	NF1	0.47	0.588
GO:0044237	NKTR	0.36	0.717
GO:0044237	NOTCH2	0.43	0.438
GO:0044237	NUP98	0.65	3.76e-13
GO:0044237	PAPPA	1.1	0
GO:0044237	UBR5	0.33	0.235
GO:0044237	PIK3CA	0.36	0.507
GO:0044237	SSH1	0.33	0.713
GO:0044237	PHIP	0.47	0.331
GO:0044237	PRKCA	0.24	0.781
GO:0044237	PRKDC	0.36	0.732
GO:0044237	KIDINS220	0.39	0.81
GO:0044237	CHD8	0.55	0.000505
GO:0044237	PTPN14	0.38	0.818
GO:0044237	RAB3B	0.41	0.63
GO:0044237	REV3L	0.34	0.257
GO:0044237	SLC5A3	0.54	0.0522
GO:0044237	SON	0.38	0.832
GO:0044237	SPTAN1	0.31	0.695
GO:0044237	SPTBN1	0.41	0.642
GO:0044237	BRCA2	0.4	0.424
GO:0044237	TEAD1	0.61	0
GO:0044237	THBS1	0.83	0
GO:0044237	TLN1	0.45	0.844
GO:0044237	TPR	0.36	0.709
GO:0044237	CACNA1A	0.41	0.38
GO:0044237	NRIP1	0.23	0.79
GO:0044237	USP9X	0.31	0.813
GO:0044237	FZD4	0.32	0.691
GO:0044237	SMARCA5	0.43	0.0787
GO:0044237	AGPS	0.42	0.555
GO:0044237	DOCK7	0.35	0.786
GO:0044237	HELZ2	0.39	0.546
GO:0044237	CBL	0.42	0.623
GO:0044237	IQGAP1	0.35	0.797
GO:0044237	HERC2	0.42	0.596
GO:0044237	DSEL	0.3	0.833
GO:0044237	MED14	0.45	0.364
GO:0044237	GTF3C4	0.24	0.755
GO:0044237	ROCK2	0.51	0.00105
GO:0044237	H6PD	0.38	0.839
GO:0044237	USP34	0.29	0.766
GO:0010605	CENPF	0.43	0.603
GO:0010605	POLQ	0.39	0.211
GO:0010605	COL7A1	1.24	3.41e-35
GO:0010605	CREBBP	0.39	0.779
GO:0010605	EGFR	0.39	0.7
GO:0010605	FLNA	0.45	0.728
GO:0010605	PDS5A	0.49	0.486
GO:0010605	UBR2	0.35	0.681
GO:0010605	CBX5	0.39	0.396
GO:0010605	FOSB	0.57	0.00324
GO:0010605	RNF169	0.37	0.721
GO:0010605	TNRC6A	0.35	0.788
GO:0010605	HIVEP1	0.37	0.704
GO:0010605	NF1	0.47	0.588
GO:0010605	UBR5	0.33	0.235
GO:0010605	PRKCA	0.24	0.781
GO:0010605	PRKDC	0.36	0.732
GO:0010605	CHD8	0.55	0.000505
GO:0010605	BRCA2	0.4	0.424
GO:0010605	THBS1	0.83	0
GO:0010605	TPR	0.36	0.709
GO:0010605	NRIP1	0.23	0.79
GO:0010605	USP9X	0.31	0.813
GO:0010605	SMARCA5	0.43	0.0787
GO:0010605	ROCK2	0.51	0.00105
GO:0044238	PRPF8	0.43	0.842
GO:0044238	CENPF	0.43	0.603
GO:0044238	POLQ	0.39	0.211
GO:0044238	MAN1A2	0.31	0.771
GO:0044238	ASCC3	0.46	0.617
GO:0044238	LYST	0.31	0.572
GO:0044238	ALPK2	0.29	0.828
GO:0044238	COL7A1	1.24	3.41e-35
GO:0044238	CREBBP	0.39	0.779
GO:0044238	VCAN	0.45	0.475
GO:0044238	EGFR	0.39	0.7
GO:0044238	ZFC3H1	0.34	0.76
GO:0044238	ABCA2	0.35	0.748
GO:0044238	FASN	0.55	1.36e-09
GO:0044238	LMTK2	0.32	0.735
GO:0044238	FLNA	0.45	0.728
GO:0044238	PDS5A	0.49	0.486
GO:0044238	UBR2	0.35	0.681
GO:0044238	USP24	0.4	0.742
GO:0044238	CBX5	0.39	0.396
GO:0044238	SRRM2	0.27	0.837
GO:0044238	FOSB	0.57	0.00324
GO:0044238	RNF169	0.37	0.721
GO:0044238	DIEXF	0.36	0.497
GO:0044238	AFF4	0.22	0.808
GO:0044238	TNRC6A	0.35	0.788
GO:0044238	GTF3C1	0.39	0.803
GO:0044238	HIVEP1	0.37	0.704
GO:0044238	HIVEP2	0.47	0.724
GO:0044238	NR4A1	0.42	0.186
GO:0044238	ZKSCAN2	0.42	0.348
GO:0044238	LRP1	0.43	0.107
GO:0044238	MKI67	0.62	0.000134
GO:0044238	NF1	0.47	0.588
GO:0044238	NKTR	0.36	0.717
GO:0044238	NOTCH2	0.43	0.438
GO:0044238	NUP98	0.65	3.76e-13
GO:0044238	PAPPA	1.1	0
GO:0044238	UBR5	0.33	0.235
GO:0044238	PIK3CA	0.36	0.507
GO:0044238	SSH1	0.33	0.713
GO:0044238	PHIP	0.47	0.331
GO:0044238	PRKCA	0.24	0.781
GO:0044238	PRKDC	0.36	0.732
GO:0044238	KIDINS220	0.39	0.81
GO:0044238	CHD8	0.55	0.000505
GO:0044238	PTPN14	0.38	0.818
GO:0044238	RAB3B	0.41	0.63
GO:0044238	REV3L	0.34	0.257
GO:0044238	SLC5A3	0.54	0.0522
GO:0044238	SON	0.38	0.832
GO:0044238	SPTAN1	0.31	0.695
GO:0044238	SPTBN1	0.41	0.642
GO:0044238	BRCA2	0.4	0.424
GO:0044238	TEAD1	0.61	0
GO:0044238	THBS1	0.83	0
GO:0044238	TLN1	0.45	0.844
GO:0044238	TPR	0.36	0.709
GO:0044238	CACNA1A	0.41	0.38
GO:0044238	THSD4	0.24	0.815
GO:0044238	NRIP1	0.23	0.79
GO:0044238	USP9X	0.31	0.813
GO:0044238	FZD4	0.32	0.691
GO:0044238	SMARCA5	0.43	0.0787
GO:0044238	AGPS	0.42	0.555
GO:0044238	DOCK7	0.35	0.786
GO:0044238	HELZ2	0.39	0.546
GO:0044238	CBL	0.42	0.623
GO:0044238	IQGAP1	0.35	0.797
GO:0044238	HERC2	0.42	0.596
GO:0044238	DSEL	0.3	0.833
GO:0044238	MED14	0.45	0.364
GO:0044238	GTF3C4	0.24	0.755
GO:0044238	ROCK2	0.51	0.00105
GO:0044238	H6PD	0.38	0.839
GO:0044238	USP34	0.29	0.766
GO:0048646	CEP250	0.38	0.769
GO:0048646	COL5A1	0.42	0.654
GO:0048646	COL7A1	1.24	3.41e-35
GO:0048646	FBN2	0.62	0.00756
GO:0048646	FLNA	0.45	0.728
GO:0048646	TMOD2	0.4	0.537
GO:0048646	NR4A1	0.42	0.186
GO:0048646	ITGA2	0.37	0.671
GO:0048646	MYH10	0.44	0.823
GO:0048646	NF1	0.47	0.588
GO:0048646	PIK3CA	0.36	0.507
GO:0048646	PRKCA	0.24	0.781
GO:0048646	PRKDC	0.36	0.732
GO:0048646	PTPN14	0.38	0.818
GO:0048646	THBS1	0.83	0
GO:0048646	CACNA1A	0.41	0.38
GO:0048646	LUZP1	0.32	0.783
GO:0048646	ROCK2	0.51	0.00105
GO:0031324	CENPF	0.43	0.603
GO:0031324	POLQ	0.39	0.211
GO:0031324	COL7A1	1.24	3.41e-35
GO:0031324	CREBBP	0.39	0.779
GO:0031324	FLNA	0.45	0.728
GO:0031324	PDS5A	0.49	0.486
GO:0031324	UBR2	0.35	0.681
GO:0031324	CBX5	0.39	0.396
GO:0031324	FOSB	0.57	0.00324
GO:0031324	RNF169	0.37	0.721
GO:0031324	TNRC6A	0.35	0.788
GO:0031324	HIVEP1	0.37	0.704
GO:0031324	NF1	0.47	0.588
GO:0031324	UBR5	0.33	0.235
GO:0031324	PRKCA	0.24	0.781
GO:0031324	PRKDC	0.36	0.732
GO:0031324	CHD8	0.55	0.000505
GO:0031324	BRCA2	0.4	0.424
GO:0031324	THBS1	0.83	0
GO:0031324	TPR	0.36	0.709
GO:0031324	CACNA1A	0.41	0.38
GO:0031324	NRIP1	0.23	0.79
GO:0031324	USP9X	0.31	0.813
GO:0031324	SMARCA5	0.43	0.0787
GO:0031324	IQGAP1	0.35	0.797
GO:0031324	ROCK2	0.51	0.00105
GO:0009968	EGFR	0.39	0.7
GO:0009968	FBN1	0.31	0.841
GO:0009968	FBN2	0.62	0.00756
GO:0009968	UBR2	0.35	0.681
GO:0009968	LRP1	0.43	0.107
GO:0009968	NF1	0.47	0.588
GO:0009968	PHIP	0.47	0.331
GO:0009968	PRKCA	0.24	0.781
GO:0009968	CHD8	0.55	0.000505
GO:0009968	THBS1	0.83	0
GO:0009968	CBL	0.42	0.623
GO:0010648	EGFR	0.39	0.7
GO:0010648	FBN1	0.31	0.841
GO:0010648	FBN2	0.62	0.00756
GO:0010648	UBR2	0.35	0.681
GO:0010648	LRP1	0.43	0.107
GO:0010648	NF1	0.47	0.588
GO:0010648	PHIP	0.47	0.331
GO:0010648	PRKCA	0.24	0.781
GO:0010648	CHD8	0.55	0.000505
GO:0010648	THBS1	0.83	0
GO:0010648	CBL	0.42	0.623
GO:0023057	EGFR	0.39	0.7
GO:0023057	FBN1	0.31	0.841
GO:0023057	FBN2	0.62	0.00756
GO:0023057	UBR2	0.35	0.681
GO:0023057	LRP1	0.43	0.107
GO:0023057	NF1	0.47	0.588
GO:0023057	PHIP	0.47	0.331
GO:0023057	PRKCA	0.24	0.781
GO:0023057	CHD8	0.55	0.000505
GO:0023057	THBS1	0.83	0
GO:0023057	CBL	0.42	0.623
GO:0043062	COL5A1	0.42	0.654
GO:0043062	COL7A1	1.24	3.41e-35
GO:0043062	VCAN	0.45	0.475
GO:0043062	FBN1	0.31	0.841
GO:0043062	FBN2	0.62	0.00756
GO:0043062	TNC	0.45	0.776
GO:0043062	ITGA2	0.37	0.671
GO:0043062	NF1	0.47	0.588
GO:0043062	PRKCA	0.24	0.781
GO:0043062	THBS1	0.83	0
GO:0043062	THSD4	0.24	0.815
GO:1901564	VCAN	0.45	0.475
GO:1901564	FASN	0.55	1.36e-09
GO:1901564	TNRC6A	0.35	0.788
GO:1901564	MKI67	0.62	0.000134
GO:1901564	NF1	0.47	0.588
GO:1901564	PRKCA	0.24	0.781
GO:1901564	THBS1	0.83	0
GO:1901564	TPR	0.36	0.709
GO:1901564	CACNA1A	0.41	0.38
GO:1901564	DSEL	0.3	0.833
GO:1901564	H6PD	0.38	0.839
GO:0010632	AMOTL1	0.3	0.792
GO:0010632	NF1	0.47	0.588
GO:0010632	PRKCA	0.24	0.781
GO:0010632	THBS1	0.83	0
GO:0010632	ROCK2	0.51	0.00105
GO:0010810	FLNA	0.45	0.728
GO:0010810	NF1	0.47	0.588
GO:0010810	THBS1	0.83	0
GO:0010810	FZD4	0.32	0.691
GO:0010810	ROCK2	0.51	0.00105
GO:0030335	AMOTL1	0.3	0.792
GO:0030335	EGFR	0.39	0.7
GO:0030335	PRKCA	0.24	0.781
GO:0030335	THBS1	0.83	0
GO:0030335	ROCK2	0.51	0.00105
GO:0040017	AMOTL1	0.3	0.792
GO:0040017	EGFR	0.39	0.7
GO:0040017	PRKCA	0.24	0.781
GO:0040017	THBS1	0.83	0
GO:0040017	ROCK2	0.51	0.00105
GO:0042493	CENPF	0.43	0.603
GO:0042493	LYST	0.31	0.572
GO:0042493	ABCA2	0.35	0.748
GO:0042493	FOSB	0.57	0.00324
GO:0042493	THBS1	0.83	0
GO:0043687	MAN1A2	0.31	0.771
GO:0043687	NUP98	0.65	3.76e-13
GO:0043687	THBS1	0.83	0
GO:0043687	TPR	0.36	0.709
GO:0043687	HERC2	0.42	0.596
GO:0051272	AMOTL1	0.3	0.792
GO:0051272	EGFR	0.39	0.7
GO:0051272	PRKCA	0.24	0.781
GO:0051272	THBS1	0.83	0
GO:0051272	ROCK2	0.51	0.00105
GO:0071345	FASN	0.55	1.36e-09
GO:0071345	FLNB	0.39	0.794
GO:0071345	KPNA4	0.32	0.58
GO:0071345	NUP98	0.65	3.76e-13
GO:0071345	TPR	0.36	0.709
GO:0071559	FBN1	0.31	0.841
GO:0071559	FBN2	0.62	0.00756
GO:0071559	THBS1	0.83	0
GO:0071559	USP9X	0.31	0.813
GO:0071559	CBL	0.42	0.623
GO:0071560	FBN1	0.31	0.841
GO:0071560	FBN2	0.62	0.00756
GO:0071560	THBS1	0.83	0
GO:0071560	USP9X	0.31	0.813
GO:0071560	CBL	0.42	0.623
GO:0097305	EGFR	0.39	0.7
GO:0097305	FOSB	0.57	0.00324
GO:0097305	BRCA2	0.4	0.424
GO:0097305	NRIP1	0.23	0.79
GO:0097305	ROCK2	0.51	0.00105
GO:2000147	AMOTL1	0.3	0.792
GO:2000147	EGFR	0.39	0.7
GO:2000147	PRKCA	0.24	0.781
GO:2000147	THBS1	0.83	0
GO:2000147	ROCK2	0.51	0.00105
GO:0051716	CENPF	0.43	0.603
GO:0051716	POLQ	0.39	0.211
GO:0051716	ASCC3	0.46	0.617
GO:0051716	AKAP11	0.32	0.686
GO:0051716	LYST	0.31	0.572
GO:0051716	CREBBP	0.39	0.779
GO:0051716	AMOTL1	0.3	0.792
GO:0051716	EGFR	0.39	0.7
GO:0051716	FASN	0.55	1.36e-09
GO:0051716	FBN1	0.31	0.841
GO:0051716	FBN2	0.62	0.00756
GO:0051716	SIPA1L3	0.36	0.774
GO:0051716	FLNA	0.45	0.728
GO:0051716	FLNB	0.39	0.794
GO:0051716	UBR2	0.35	0.681
GO:0051716	FOSB	0.57	0.00324
GO:0051716	RNF169	0.37	0.721
GO:0051716	TNRC6A	0.35	0.788
GO:0051716	ARL10	0.36	0.61
GO:0051716	TMOD2	0.4	0.537
GO:0051716	HIVEP1	0.37	0.704
GO:0051716	HIVEP2	0.47	0.724
GO:0051716	NR4A1	0.42	0.186
GO:0051716	TNC	0.45	0.776
GO:0051716	IGF2R	0.29	0.831
GO:0051716	ITGA2	0.37	0.671
GO:0051716	KPNA4	0.32	0.58
GO:0051716	LRP1	0.43	0.107
GO:0051716	MKI67	0.62	0.000134
GO:0051716	MYH10	0.44	0.823
GO:0051716	NF1	0.47	0.588
GO:0051716	NOTCH2	0.43	0.438
GO:0051716	NUP98	0.65	3.76e-13
GO:0051716	UBR5	0.33	0.235
GO:0051716	PIK3CA	0.36	0.507
GO:0051716	PLXNA1	0.13	0.836
GO:0051716	SSH1	0.33	0.713
GO:0051716	PHIP	0.47	0.331
GO:0051716	PRKCA	0.24	0.781
GO:0051716	PRKDC	0.36	0.732
GO:0051716	KIDINS220	0.39	0.81
GO:0051716	CHD8	0.55	0.000505
GO:0051716	RAB3B	0.41	0.63
GO:0051716	REV3L	0.34	0.257
GO:0051716	AFAP1	0.28	0.82
GO:0051716	SPTAN1	0.31	0.695
GO:0051716	SPTBN1	0.41	0.642
GO:0051716	BRCA2	0.4	0.424
GO:0051716	TEAD1	0.61	0
GO:0051716	THBS1	0.83	0
GO:0051716	TLN1	0.45	0.844
GO:0051716	TPR	0.36	0.709
GO:0051716	CACNA1A	0.41	0.38
GO:0051716	NRIP1	0.23	0.79
GO:0051716	USP9X	0.31	0.813
GO:0051716	FZD4	0.32	0.691
GO:0051716	SMARCA5	0.43	0.0787
GO:0051716	DOCK7	0.35	0.786
GO:0051716	CBL	0.42	0.623
GO:0051716	IQGAP1	0.35	0.797
GO:0051716	HERC2	0.42	0.596
GO:0051716	MED14	0.45	0.364
GO:0051716	ROCK2	0.51	0.00105
GO:0051716	USP34	0.29	0.766
GO:0051716	CKAP5	0.43	0.527
GO:0048513	CENPF	0.43	0.603
GO:0048513	MAN1A2	0.31	0.771
GO:0048513	COL5A1	0.42	0.654
GO:0048513	VCAN	0.45	0.475
GO:0048513	EGFR	0.39	0.7
GO:0048513	FASN	0.55	1.36e-09
GO:0048513	FBN1	0.31	0.841
GO:0048513	FBN2	0.62	0.00756
GO:0048513	SIPA1L3	0.36	0.774
GO:0048513	FLNA	0.45	0.728
GO:0048513	FLNB	0.39	0.794
GO:0048513	SLC7A11	0.35	0.822
GO:0048513	TMOD2	0.4	0.537
GO:0048513	TNC	0.45	0.776
GO:0048513	ITGA2	0.37	0.671
GO:0048513	MKI67	0.62	0.000134
GO:0048513	MYH10	0.44	0.823
GO:0048513	NF1	0.47	0.588
GO:0048513	NOTCH2	0.43	0.438
GO:0048513	NUMA1	0.34	0.845
GO:0048513	PIK3CA	0.36	0.507
GO:0048513	PLXNA1	0.13	0.836
GO:0048513	PRKCA	0.24	0.781
GO:0048513	PRKDC	0.36	0.732
GO:0048513	CHD8	0.55	0.000505
GO:0048513	BRCA2	0.4	0.424
GO:0048513	THBS1	0.83	0
GO:0048513	CACNA1A	0.41	0.38
GO:0048513	LUZP1	0.32	0.783
GO:0048513	NRIP1	0.23	0.79
GO:0048513	USP9X	0.31	0.813
GO:0048513	FZD4	0.32	0.691
GO:0048513	DOCK7	0.35	0.786
GO:0048513	IQGAP1	0.35	0.797
GO:0048513	ROCK2	0.51	0.00105
GO:1901654	ROCK2	0.51	0.00105
GO:0071704	PRPF8	0.43	0.842
GO:0071704	CENPF	0.43	0.603
GO:0071704	POLQ	0.39	0.211
GO:0071704	MAN1A2	0.31	0.771
GO:0071704	ASCC3	0.46	0.617
GO:0071704	LYST	0.31	0.572
GO:0071704	ALPK2	0.29	0.828
GO:0071704	COL5A1	0.42	0.654
GO:0071704	COL7A1	1.24	3.41e-35
GO:0071704	CREBBP	0.39	0.779
GO:0071704	VCAN	0.45	0.475
GO:0071704	EGFR	0.39	0.7
GO:0071704	ZFC3H1	0.34	0.76
GO:0071704	ABCA2	0.35	0.748
GO:0071704	FASN	0.55	1.36e-09
GO:0071704	LMTK2	0.32	0.735
GO:0071704	FLNA	0.45	0.728
