feat	diff_pep	diff_fdr	diff_bf	cv_ev	cv_sd	cv_map	cv_ci_lower	cv_ci_upper
ADAMTS15	9.97e-1	9.79e-1	2.73	0.24	0.11	0.35	0.08	0.45
TSPYL5	9.97e-1	9.79e-1	2.73	0.22	0.11	0.45	0.06	0.45
DENND6A	9.97e-1	9.79e-1	2.73	0.23	0.12	0.39	0.05	0.45
EPC2	9.98e-1	9.79e-1	2.73	0.29	0.08	0.35	0.15	0.44
TEX2	9.98e-1	9.80e-1	2.73	0.22	0.13	0.38	0.05	0.45
FOXK1	9.98e-1	9.80e-1	2.73	0.21	0.13	0.03	0.00	0.45
PRMT10	9.98e-1	9.80e-1	2.73	0.28	0.09	0.29	0.09	0.44
C2CD5	9.98e-1	9.81e-1	2.73	0.22	0.09	0.33	0.07	0.42
APH1B	9.98e-1	9.81e-1	2.73	0.29	0.10	0.43	0.11	0.45
ULK2	9.98e-1	9.81e-1	2.73	0.25	0.10	0.29	0.09	0.44
ZNF304	9.98e-1	9.81e-1	2.73	0.23	0.11	0.14	0.07	0.45
RAD54L2	9.98e-1	9.81e-1	2.73	0.22	0.10	0.16	0.07	0.43
NOTCH3	9.98e-1	9.82e-1	2.73	0.25	0.09	0.17	0.15	0.44
VAT1L	9.98e-1	9.82e-1	2.73	0.24	0.10	0.41	0.10	0.44
ADAMTS3	9.98e-1	9.82e-1	2.73	0.22	0.09	0.12	0.07	0.42
N6AMT1	9.98e-1	9.82e-1	2.73	0.20	0.12	0.37	0.02	0.43
FAM129A	9.98e-1	9.83e-1	2.73	0.22	0.12	0.41	0.05	0.42
C18orf25	9.98e-1	9.83e-1	2.73	0.23	0.10	0.38	0.08	0.43
SLC12A7	9.98e-1	9.83e-1	2.73	0.24	0.11	0.33	0.05	0.44
STARD9	9.98e-1	9.83e-1	2.73	0.23	0.10	0.34	0.06	0.45
RNF123	9.98e-1	9.83e-1	2.73	0.31	0.06	0.27	0.21	0.43
ZNF354C	9.98e-1	9.83e-1	2.73	0.21	0.11	0.30	0.04	0.44
KNTC1	9.98e-1	9.84e-1	2.73	0.24	0.10	0.34	0.07	0.42
CLUH	9.98e-1	9.84e-1	2.73	0.23	0.09	0.38	0.08	0.43
USP20	9.98e-1	9.84e-1	2.73	0.21	0.10	0.15	0.07	0.42
ZNFX1	9.98e-1	9.84e-1	2.73	0.21	0.11	0.13	0.06	0.43
ATG16L1	9.98e-1	9.84e-1	2.73	0.20	0.11	0.44	0.03	0.44
GPRIN1	9.98e-1	9.84e-1	2.73	0.24	0.09	0.16	0.10	0.42
ATXN1L	9.98e-1	9.85e-1	2.73	0.22	0.10	0.16	0.05	0.43
KIF18B	9.98e-1	9.85e-1	2.73	0.22	0.10	0.37	0.05	0.41
CEP41	9.98e-1	9.85e-1	2.73	0.26	0.09	0.33	0.12	0.43
FLNB	9.98e-1	9.85e-1	2.73	0.32	0.07	0.42	0.21	0.45
CUL9	9.98e-1	9.85e-1	2.73	0.21	0.09	0.29	0.06	0.39
TMEM104	9.98e-1	9.85e-1	2.73	0.23	0.10	0.19	0.07	0.45
KCNMA1	9.98e-1	9.85e-1	2.73	0.27	0.09	0.41	0.12	0.43
NPAT	9.98e-1	9.86e-1	2.73	0.20	0.09	0.40	0.06	0.40
EIF4ENIF1	9.98e-1	9.86e-1	2.73	0.21	0.11	0.10	0.04	0.46
FAM131B	9.98e-1	9.86e-1	2.73	0.23	0.09	0.19	0.08	0.43
SUSD5	9.98e-1	9.86e-1	2.73	0.21	0.11	0.26	0.04	0.44
GUF1	9.99e-1	9.86e-1	2.73	0.21	0.11	0.29	0.05	0.42
DHX37	9.99e-1	9.86e-1	2.73	0.22	0.10	0.29	0.07	0.43
CD2AP	9.99e-1	9.86e-1	2.73	0.20	0.11	0.06	0.05	0.44
USPL1	9.99e-1	9.86e-1	2.73	0.23	0.12	0.36	0.00	0.44
KAT6A	9.99e-1	9.87e-1	2.73	0.20	0.11	0.30	0.03	0.42
ITPRIP	9.99e-1	9.87e-1	2.73	0.19	0.10	0.03	0.00	0.39
NUDT3	9.99e-1	9.87e-1	2.73	0.22	0.10	0.35	0.07	0.44
ZBED1	9.99e-1	9.87e-1	2.73	0.26	0.09	0.40	0.11	0.43
RAI1	9.99e-1	9.87e-1	2.73	0.21	0.10	0.26	0.08	0.42
CAPN15	9.99e-1	9.87e-1	2.73	0.21	0.09	0.28	0.06	0.41
SPRY4	9.99e-1	9.87e-1	2.73	0.23	0.11	0.33	0.03	0.43
HIRA	9.99e-1	9.87e-1	2.73	0.23	0.11	0.17	0.08	0.46
DSEL	9.99e-1	9.87e-1	2.73	0.25	0.08	0.32	0.12	0.41
ARIH1	9.99e-1	9.88e-1	2.73	0.27	0.07	0.25	0.17	0.42
MDN1	9.99e-1	9.88e-1	2.73	0.25	0.09	0.31	0.10	0.41
TSPYL4	9.99e-1	9.88e-1	2.73	0.22	0.10	0.29	0.04	0.42
FAM53C	9.99e-1	9.88e-1	2.73	0.20	0.12	0.28	0.04	0.45
MAVS	9.99e-1	9.88e-1	2.73	0.19	0.12	0.08	0.00	0.43
DAAM2	9.99e-1	9.88e-1	2.73	0.22	0.10	0.37	0.06	0.43
ITGB8	9.99e-1	9.88e-1	2.73	0.22	0.10	0.37	0.04	0.42
BRD1	9.99e-1	9.88e-1	2.72	0.19	0.10	0.27	0.02	0.41
YTHDC2	9.99e-1	9.88e-1	2.72	0.25	0.10	0.36	0.08	0.42
DNA2	9.99e-1	9.88e-1	2.72	0.26	0.09	0.32	0.09	0.43
SMAD9	9.99e-1	9.88e-1	2.72	0.27	0.09	0.38	0.12	0.42
BROX	9.99e-1	9.89e-1	2.72	0.20	0.09	0.25	0.05	0.38
ZNF175	9.99e-1	9.89e-1	2.72	0.23	0.10	0.34	0.06	0.42
FOSB	9.99e-1	9.89e-1	2.72	0.22	0.09	0.17	0.07	0.42
NOL9	9.99e-1	9.89e-1	2.72	0.19	0.11	0.05	0.03	0.43
PDE10A	9.99e-1	9.89e-1	2.72	0.22	0.11	0.31	0.05	0.44
CCDC117	9.99e-1	9.89e-1	2.72	0.20	0.11	0.03	0.00	0.42
LSM3	9.99e-1	9.89e-1	2.72	0.19	0.11	0.32	0.00	0.41
ADCY6	9.99e-1	9.89e-1	2.72	0.19	0.12	0.07	0.03	0.43
AFF4	9.99e-1	9.89e-1	2.72	0.19	0.11	0.39	0.02	0.42
DDX26B	9.99e-1	9.89e-1	2.72	0.18	0.11	0.03	0.02	0.39
RP11-159D12.9	9.99e-1	9.89e-1	2.72	0.19	0.12	0.07	0.00	0.44
TECPR2	9.99e-1	9.89e-1	2.72	0.22	0.10	0.27	0.04	0.40
AGO4	9.99e-1	9.89e-1	2.72	0.22	0.10	0.40	0.08	0.43
JARID2	9.99e-1	9.89e-1	2.72	0.18	0.10	0.08	0.04	0.43
PLD2	9.99e-1	9.90e-1	2.72	0.18	0.11	0.05	0.03	0.44
TBC1D22B	9.99e-1	9.90e-1	2.72	0.19	0.10	0.28	0.02	0.41
KLHL29	9.99e-1	9.90e-1	2.72	0.19	0.11	0.02	0.00	0.42
TOR4A	9.99e-1	9.90e-1	2.72	0.24	0.10	0.37	0.09	0.43
notarget001	9.99e-1	9.90e-1	2.72	0.20	0.11	0.05	0.03	0.41
HIVEP2	9.99e-1	9.90e-1	2.72	0.21	0.11	0.29	0.03	0.41
TTPAL	9.99e-1	9.90e-1	2.72	0.21	0.10	0.10	0.06	0.43
GTF3C1	9.99e-1	9.90e-1	2.72	0.22	0.09	0.13	0.10	0.42
WRN	9.99e-1	9.90e-1	2.72	0.23	0.10	0.34	0.06	0.42
C17orf70	9.99e-1	9.90e-1	2.72	0.28	0.08	0.39	0.13	0.43
CYP2U1	9.99e-1	9.90e-1	2.72	0.24	0.08	0.35	0.10	0.40
PRKCA	9.99e-1	9.90e-1	2.72	0.29	0.08	0.38	0.17	0.44
WDR62	9.99e-1	9.90e-1	2.72	0.21	0.08	0.19	0.07	0.39
ZMAT3	9.99e-1	9.90e-1	2.72	0.25	0.09	0.32	0.10	0.44
SERAC1	9.99e-1	9.90e-1	2.72	0.27	0.09	0.32	0.11	0.43
SEMA4F	9.99e-1	9.90e-1	2.72	0.18	0.11	0.06	0.00	0.40
ARHGEF9	9.99e-1	9.91e-1	2.72	0.26	0.10	0.38	0.10	0.43
UBE2O	9.99e-1	9.91e-1	2.72	0.19	0.12	0.03	0.00	0.43
SIN3A	9.99e-1	9.91e-1	2.72	0.21	0.11	0.33	0.05	0.41
GPRC5B	9.99e-1	9.91e-1	2.72	0.23	0.10	0.33	0.06	0.43
POLQ	9.99e-1	9.91e-1	2.72	0.19	0.10	0.36	0.02	0.39
LMTK2	9.99e-1	9.91e-1	2.72	0.22	0.10	0.25	0.05	0.41
DHX34	9.99e-1	9.91e-1	2.72	0.23	0.09	0.20	0.08	0.42
ITPRIPL2	9.99e-1	9.91e-1	2.72	0.25	0.08	0.20	0.14	0.43
NOM1	9.99e-1	9.91e-1	2.72	0.18	0.10	0.02	0.00	0.38
NCKAP5L	9.99e-1	9.91e-1	2.72	0.23	0.10	0.26	0.07	0.43
RP11-958N24.2	9.99e-1	9.91e-1	2.72	0.22	0.09	0.16	0.08	0.41
ANKS1A	9.99e-1	9.91e-1	2.72	0.21	0.13	0.41	0.02	0.44
PCMTD2	9.99e-1	9.91e-1	2.72	0.19	0.13	0.07	0.00	0.46
FMNL2	9.99e-1	9.91e-1	2.72	0.23	0.09	0.27	0.09	0.41
CCNF	9.99e-1	9.91e-1	2.72	0.24	0.09	0.35	0.10	0.42
UBE4B	9.99e-1	9.91e-1	2.72	0.21	0.10	0.17	0.06	0.40
SLC4A8	9.99e-1	9.91e-1	2.72	0.26	0.08	0.29	0.11	0.42
TBC1D12	9.99e-1	9.91e-1	2.72	0.21	0.10	0.30	0.04	0.41
AGL	9.99e-1	9.91e-1	2.72	0.23	0.09	0.33	0.07	0.39
RMND5A	9.99e-1	9.91e-1	2.72	0.25	0.08	0.21	0.11	0.42
PEX1	9.99e-1	9.92e-1	2.72	0.26	0.10	0.36	0.08	0.42
LSS	9.99e-1	9.92e-1	2.72	0.28	0.07	0.36	0.19	0.42
KIAA1551	9.99e-1	9.92e-1	2.72	0.20	0.10	0.30	0.02	0.42
LAMA1	9.99e-1	9.92e-1	2.72	0.27	0.10	0.41	0.12	0.43
NSD1	9.99e-1	9.92e-1	2.72	0.24	0.08	0.20	0.12	0.43
DHX57	9.99e-1	9.92e-1	2.72	0.21	0.10	0.40	0.04	0.40
WDR7	9.99e-1	9.92e-1	2.72	0.23	0.10	0.38	0.05	0.43
MKL2	9.99e-1	9.92e-1	2.72	0.22	0.08	0.33	0.07	0.40
ZSWIM6	9.99e-1	9.92e-1	2.72	0.16	0.10	0.02	0.00	0.38
UHRF1BP1	9.99e-1	9.92e-1	2.72	0.25	0.09	0.15	0.11	0.44
NLRX1	9.99e-1	9.92e-1	2.72	0.22	0.10	0.33	0.05	0.39
ARHGEF10L	9.99e-1	9.92e-1	2.72	0.20	0.09	0.35	0.05	0.40
KIF13A	9.99e-1	9.92e-1	2.72	0.21	0.09	0.21	0.09	0.39
REV3L	9.99e-1	9.92e-1	2.72	0.26	0.09	0.37	0.11	0.43
PIKFYVE	9.99e-1	9.92e-1	2.72	0.23	0.09	0.28	0.08	0.40
CEP170B	9.99e-1	9.92e-1	2.72	0.22	0.11	0.20	0.04	0.42
ZNF275	9.99e-1	9.92e-1	2.72	0.23	0.10	0.10	0.06	0.41
GDF11	9.99e-1	9.92e-1	2.72	0.21	0.11	0.37	0.07	0.39
SNIP1	9.99e-1	9.92e-1	2.72	0.22	0.10	0.28	0.03	0.40
OTUD3	9.99e-1	9.92e-1	2.72	0.23	0.12	0.36	0.04	0.43
DOPEY1	9.99e-1	9.92e-1	2.72	0.23	0.08	0.17	0.10	0.41
TICRR	9.99e-1	9.92e-1	2.72	0.20	0.10	0.07	0.04	0.40
OXTR	9.99e-1	9.92e-1	2.72	0.18	0.09	0.10	0.05	0.39
EYA3	9.99e-1	9.92e-1	2.72	0.19	0.10	0.35	0.04	0.40
TPCN1	9.99e-1	9.92e-1	2.72	0.21	0.10	0.31	0.04	0.39
PRDM15	9.99e-1	9.92e-1	2.72	0.20	0.09	0.29	0.05	0.39
WDR91	9.99e-1	9.93e-1	2.72	0.24	0.10	0.33	0.08	0.40
H6PD	9.99e-1	9.93e-1	2.72	0.21	0.10	0.23	0.06	0.40
ATP11A	9.99e-1	9.93e-1	2.72	0.25	0.09	0.38	0.12	0.43
C2orf44	9.99e-1	9.93e-1	2.72	0.21	0.12	0.40	0.04	0.44
MBLAC2	9.99e-1	9.93e-1	2.72	0.21	0.10	0.36	0.03	0.38
TTLL4	9.99e-1	9.93e-1	2.72	0.22	0.08	0.17	0.09	0.39
WDR35	9.99e-1	9.93e-1	2.72	0.18	0.10	0.36	0.03	0.40
ARSG	9.99e-1	9.93e-1	2.72	0.22	0.11	0.33	0.05	0.41
COG3	9.99e-1	9.93e-1	2.72	0.22	0.10	0.33	0.07	0.41
QSER1	9.99e-1	9.93e-1	2.72	0.23	0.09	0.26	0.08	0.41
LOXL4	9.99e-1	9.93e-1	2.72	0.24	0.09	0.21	0.09	0.42
MEGF9	9.99e-1	9.93e-1	2.72	0.20	0.11	0.02	0.00	0.38
AGO1	9.99e-1	9.93e-1	2.72	0.26	0.09	0.36	0.13	0.42
CTPS2	9.99e-1	9.93e-1	2.72	0.26	0.08	0.22	0.13	0.42
PHF13	9.99e-1	9.93e-1	2.72	0.23	0.11	0.38	0.05	0.41
WDR5B	9.99e-1	9.93e-1	2.72	0.19	0.09	0.13	0.03	0.40
ZFYVE26	9.99e-1	9.93e-1	2.72	0.21	0.10	0.28	0.04	0.41
ZBTB5	9.99e-1	9.93e-1	2.72	0.23	0.11	0.38	0.07	0.43
LIG4	9.99e-1	9.93e-1	2.72	0.20	0.10	0.37	0.04	0.38
blank002	9.99e-1	9.93e-1	2.72	0.21	0.10	0.34	0.03	0.43
notarget005	9.99e-1	9.93e-1	2.72	0.23	0.10	0.26	0.07	0.42
VASH1	9.99e-1	9.93e-1	2.72	0.21	0.12	0.06	0.02	0.43
INPP5F	9.99e-1	9.93e-1	2.72	0.24	0.09	0.14	0.10	0.42
SERTAD2	9.99e-1	9.93e-1	2.72	0.21	0.09	0.27	0.06	0.40
KLF11	9.99e-1	9.93e-1	2.72	0.19	0.10	0.35	0.04	0.39
PHLPP2	9.99e-1	9.93e-1	2.72	0.21	0.10	0.33	0.05	0.40
TTF2	9.99e-1	9.93e-1	2.72	0.27	0.08	0.31	0.11	0.42
C7orf41	9.99e-1	9.93e-1	2.72	0.21	0.09	0.30	0.06	0.39
ATG14	9.99e-1	9.93e-1	2.72	0.21	0.11	0.30	0.03	0.41
CENPJ	9.99e-1	9.93e-1	2.72	0.18	0.11	0.10	0.02	0.41
notarget003	9.99e-1	9.93e-1	2.72	0.25	0.09	0.36	0.09	0.43
EIF4EBP2	9.99e-1	9.93e-1	2.72	0.20	0.11	0.31	0.02	0.42
CLTCL1	9.99e-1	9.93e-1	2.72	0.19	0.11	0.02	0.00	0.41
DSP	9.99e-1	9.93e-1	2.72	0.21	0.10	0.08	0.04	0.40
TBC1D16	9.99e-1	9.94e-1	2.72	0.19	0.10	0.09	0.04	0.41
ENDOD1	9.99e-1	9.94e-1	2.72	0.20	0.11	0.06	0.03	0.38
POLD3	9.99e-1	9.94e-1	2.72	0.21	0.09	0.34	0.05	0.40
KIAA0753	9.99e-1	9.94e-1	2.72	0.20	0.10	0.06	0.02	0.40
MAP3K1	9.99e-1	9.94e-1	2.72	0.21	0.10	0.29	0.03	0.38
TRRAP	9.99e-1	9.94e-1	2.72	0.24	0.08	0.24	0.13	0.44
C2orf49	9.99e-1	9.94e-1	2.72	0.22	0.11	0.42	0.04	0.42
PLXNA3	9.99e-1	9.94e-1	2.72	0.22	0.10	0.12	0.08	0.41
VWA8	9.99e-1	9.94e-1	2.72	0.19	0.10	0.04	0.03	0.41
blank008	9.99e-1	9.94e-1	2.72	0.20	0.12	0.04	0.00	0.43
SOWAHC	9.99e-1	9.94e-1	2.72	0.24	0.08	0.16	0.12	0.41
LPPR4	9.99e-1	9.94e-1	2.72	0.24	0.08	0.28	0.10	0.40
NUAK1	9.99e-1	9.94e-1	2.72	0.17	0.10	0.02	0.00	0.41
DOCK10	9.99e-1	9.94e-1	2.72	0.23	0.10	0.30	0.08	0.42
TBCD	9.99e-1	9.94e-1	2.72	0.24	0.11	0.32	0.06	0.43
TRIM14	9.99e-1	9.94e-1	2.72	0.24	0.09	0.38	0.08	0.40
CEP135	9.99e-1	9.94e-1	2.72	0.21	0.10	0.30	0.04	0.40
FCHSD2	9.99e-1	9.94e-1	2.72	0.19	0.10	0.23	0.05	0.41
C10orf12	9.99e-1	9.94e-1	2.72	0.25	0.09	0.35	0.08	0.40
SV2A	9.99e-1	9.94e-1	2.72	0.25	0.10	0.36	0.08	0.43
E2F3	9.99e-1	9.94e-1	2.72	0.23	0.08	0.26	0.09	0.40
SLC25A44	9.99e-1	9.94e-1	2.72	0.23	0.07	0.21	0.11	0.38
INSR	9.99e-1	9.94e-1	2.72	0.20	0.10	0.34	0.03	0.42
ZNF71	9.99e-1	9.94e-1	2.72	0.23	0.09	0.26	0.09	0.40
ARHGAP29	9.99e-1	9.94e-1	2.72	0.21	0.10	0.36	0.06	0.41
AREL1	9.99e-1	9.94e-1	2.72	0.17	0.10	0.09	0.03	0.42
NRIP3	9.99e-1	9.94e-1	2.72	0.22	0.08	0.26	0.07	0.38
ATP13A1	9.99e-1	9.94e-1	2.72	0.22	0.09	0.14	0.09	0.39
SLC12A6	9.99e-1	9.94e-1	2.72	0.25	0.08	0.31	0.11	0.43
DPYD	9.99e-1	9.94e-1	2.72	0.21	0.09	0.33	0.07	0.38
ETV5	9.99e-1	9.94e-1	2.72	0.26	0.07	0.33	0.13	0.40
WDR37	9.99e-1	9.94e-1	2.72	0.19	0.11	0.40	0.04	0.40
FITM2	9.99e-1	9.94e-1	2.72	0.18	0.10	0.35	0.02	0.37
GPR155	1.00e0	9.94e-1	2.72	0.22	0.10	0.30	0.06	0.42
RPAP1	1.00e0	9.94e-1	2.72	0.26	0.07	0.22	0.14	0.42
BDP1	1.00e0	9.94e-1	2.72	0.24	0.09	0.35	0.10	0.41
KIAA0247	1.00e0	9.94e-1	2.72	0.25	0.09	0.37	0.12	0.41
TMPPE	1.00e0	9.94e-1	2.72	0.20	0.10	0.39	0.04	0.41
MLLT11	1.00e0	9.94e-1	2.72	0.18	0.10	0.09	0.03	0.37
GREM2	1.00e0	9.94e-1	2.72	0.20	0.09	0.36	0.06	0.40
BRCA2	1.00e0	9.94e-1	2.72	0.21	0.11	0.34	0.03	0.41
CARD6	1.00e0	9.94e-1	2.72	0.23	0.11	0.35	0.05	0.42
SCN3A	1.00e0	9.94e-1	2.72	0.24	0.10	0.32	0.08	0.42
GEMIN4	1.00e0	9.94e-1	2.72	0.19	0.12	0.40	0.02	0.43
DTX3L	1.00e0	9.94e-1	2.72	0.20	0.11	0.38	0.03	0.42
ZNF526	1.00e0	9.94e-1	2.72	0.19	0.10	0.28	0.02	0.40
TBC1D9	1.00e0	9.94e-1	2.72	0.21	0.10	0.39	0.05	0.41
SLC30A4	1.00e0	9.95e-1	2.72	0.20	0.10	0.12	0.04	0.41
DIP2A	1.00e0	9.95e-1	2.72	0.18	0.10	0.05	0.02	0.37
BAHD1	1.00e0	9.95e-1	2.72	0.22	0.10	0.32	0.06	0.41
RBM26	1.00e0	9.95e-1	2.72	0.20	0.09	0.14	0.03	0.38
ADCY7	1.00e0	9.95e-1	2.72	0.22	0.10	0.30	0.04	0.42
SIN3B	1.00e0	9.95e-1	2.72	0.27	0.06	0.22	0.18	0.40
CREBL2	1.00e0	9.95e-1	2.72	0.20	0.10	0.04	0.03	0.38
CACNA1A	1.00e0	9.95e-1	2.72	0.21	0.09	0.32	0.05	0.39
TRPS1	1.00e0	9.95e-1	2.72	0.21	0.11	0.37	0.04	0.41
GIGYF1	1.00e0	9.95e-1	2.72	0.19	0.10	0.32	0.03	0.40
NCOA6	1.00e0	9.95e-1	2.72	0.18	0.10	0.03	0.00	0.38
RCAN3	1.00e0	9.95e-1	2.72	0.21	0.09	0.36	0.06	0.38
TSTD2	1.00e0	9.95e-1	2.72	0.21	0.08	0.26	0.07	0.36
SACS	1.00e0	9.95e-1	2.72	0.20	0.10	0.35	0.02	0.42
EVC	1.00e0	9.95e-1	2.72	0.23	0.09	0.35	0.10	0.40
NUP214	1.00e0	9.95e-1	2.72	0.22	0.07	0.20	0.10	0.41
ZBTB34	1.00e0	9.95e-1	2.72	0.23	0.10	0.33	0.04	0.41
DMD	1.00e0	9.95e-1	2.72	0.21	0.09	0.30	0.06	0.37
DIP2B	1.00e0	9.95e-1	2.72	0.21	0.09	0.23	0.06	0.40
VTI1A	1.00e0	9.95e-1	2.72	0.22	0.11	0.29	0.03	0.41
SP4	1.00e0	9.95e-1	2.72	0.21	0.10	0.11	0.05	0.42
NAPEPLD	1.00e0	9.95e-1	2.72	0.19	0.10	0.37	0.04	0.40
TCF20	1.00e0	9.95e-1	2.72	0.18	0.10	0.03	0.00	0.38
SSH1	1.00e0	9.95e-1	2.72	0.21	0.11	0.35	0.05	0.43
NSMAF	1.00e0	9.95e-1	2.72	0.26	0.10	0.15	0.10	0.43
GPR180	1.00e0	9.95e-1	2.72	0.21	0.09	0.26	0.06	0.40
AHNAK2	1.00e0	9.95e-1	2.72	0.25	0.08	0.33	0.10	0.40
ACSL1	1.00e0	9.95e-1	2.72	0.20	0.10	0.08	0.02	0.43
CCDC93	1.00e0	9.95e-1	2.72	0.21	0.09	0.28	0.05	0.37
TCEB3	1.00e0	9.95e-1	2.72	0.22	0.11	0.37	0.09	0.41
HECTD2	1.00e0	9.95e-1	2.72	0.19	0.10	0.08	0.03	0.37
VSIG10	1.00e0	9.95e-1	2.72	0.19	0.11	0.32	0.03	0.41
ZNF652	1.00e0	9.95e-1	2.72	0.19	0.10	0.03	0.00	0.36
UBOX5	1.00e0	9.95e-1	2.72	0.20	0.10	0.05	0.03	0.39
RHOBTB1	1.00e0	9.95e-1	2.72	0.20	0.10	0.07	0.03	0.38
USP37	1.00e0	9.95e-1	2.72	0.20	0.11	0.43	0.04	0.43
