feat	diff_pep	diff_fdr	diff_bf	cv_map	cv_ci_lower	cv_ci_upper
SVEP1	1.00e0	8.05e-1	0.00	0.34	0.33	0.41
DIEXF	1.00e0	8.09e-1	0.00	0.32	0.25	0.42
LYST	1.00e0	8.14e-1	0.00	0.36	0.26	0.46
IQGAP1	1.00e0	8.18e-1	0.00	0.25	0.22	0.27
STARD9	1.00e0	8.22e-1	0.00	0.35	0.23	0.43
DYNC1H1	1.00e0	8.26e-1	0.00	0.37	0.35	0.37
TEAD1	1.00e0	8.29e-1	0.00	0.41	0.41	0.46
GTF3C4	1.00e0	8.33e-1	0.00	0.31	0.23	0.40
PRRC2B	1.00e0	8.36e-1	0.00	0.25	0.22	0.27
SMARCA5	1.00e0	8.40e-1	0.00	0.32	0.27	0.34
CBX5	1.00e0	8.43e-1	0.00	0.31	0.28	0.42
ALMS1	1.00e0	8.46e-1	0.00	0.38	0.33	0.47
UBR5	1.00e0	8.49e-1	0.00	0.32	0.27	0.37
SON	1.00e0	8.51e-1	0.00	0.26	0.21	0.27
NR4A1	1.00e0	8.54e-1	0.00	0.37	0.27	0.45
HEATR5B	1.00e0	8.57e-1	0.00	0.30	0.23	0.39
ROCK2	1.00e0	8.59e-1	0.00	0.34	0.31	0.35
TMOD2	1.00e0	8.62e-1	0.00	0.33	0.27	0.43
PIEZO1	1.00e0	8.64e-1	0.00	0.34	0.32	0.39
SLC38A1	1.00e0	8.66e-1	0.00	0.25	0.22	0.33
DOPEY1	1.00e0	8.68e-1	0.00	0.38	0.30	0.44
KIAA1462	1.00e0	8.71e-1	0.00	0.24	0.23	0.28
VCAN	1.00e0	8.73e-1	0.00	0.28	0.27	0.33
QSER1	1.00e0	8.75e-1	0.00	0.27	0.23	0.38
FZD4	1.00e0	8.77e-1	0.00	0.27	0.20	0.37
DIP2B	1.00e0	8.78e-1	0.00	0.34	0.27	0.40
VPS13D	1.00e0	8.80e-1	0.00	0.31	0.26	0.38
NUMA1	1.00e0	8.82e-1	0.00	0.31	0.26	0.32
CKAP5	1.00e0	8.84e-1	0.00	0.28	0.25	0.33
USP24	1.00e0	8.85e-1	0.00	0.27	0.14	0.35
AKAP11	1.00e0	8.87e-1	0.00	0.40	0.29	0.45
GPR107	1.00e0	8.89e-1	0.00	0.20	0.18	0.24
PRKDC	1.00e0	8.90e-1	0.00	0.31	0.26	0.37
ALPK2	1.00e0	8.92e-1	0.00	0.24	0.18	0.32
LUZP1	1.00e0	8.93e-1	0.00	0.26	0.17	0.37
AMOTL1	1.00e0	8.94e-1	0.00	0.29	0.25	0.34
CACNA1A	1.00e0	8.96e-1	0.00	0.39	0.35	0.44
SSH1	1.00e0	8.97e-1	0.00	0.31	0.25	0.37
LMTK2	1.00e0	8.98e-1	0.00	0.30	0.19	0.36
C17orf51	1.00e0	9.00e-1	0.00	0.24	0.20	0.33
TPR	1.00e0	9.01e-1	0.00	0.33	0.30	0.36
CREBBP	1.00e0	9.02e-1	0.00	0.35	0.30	0.38
PTPN14	1.00e0	9.03e-1	0.00	0.31	0.28	0.36
HIVEP2	1.00e0	9.04e-1	0.00	0.37	0.33	0.44
PDS5A	1.00e0	9.06e-1	0.00	0.29	0.23	0.42
FRY	1.00e0	9.07e-1	0.00	0.30	0.22	0.34
THSD4	1.00e0	9.08e-1	0.00	0.35	0.24	0.41
GTF3C1	1.00e0	9.09e-1	0.00	0.34	0.30	0.37
FLNB	1.00e0	9.10e-1	0.00	0.29	0.25	0.34
FOSB	1.00e0	9.11e-1	0.00	0.33	0.29	0.41
ZKSCAN2	1.00e0	9.12e-1	0.00	0.38	0.33	0.45
USP9X	1.00e0	9.13e-1	0.00	0.28	0.27	0.41
DNAJC13	1.00e0	9.14e-1	0.00	0.25	0.20	0.30
ANKRD52	1.00e0	9.15e-1	0.00	0.26	0.21	0.36
TNRC6A	1.00e0	9.15e-1	0.00	0.27	0.22	0.33
CEP250	1.00e0	9.16e-1	0.00	0.37	0.29	0.42
ASCC3	1.00e0	9.17e-1	0.00	0.34	0.30	0.39
PRKCA	1.00e0	9.18e-1	0.00	0.14	0.12	0.22
RNF169	1.00e0	9.19e-1	0.00	0.32	0.25	0.38
NRIP1	1.00e0	9.20e-1	0.00	0.32	0.26	0.44
H6PD	1.00e0	9.20e-1	0.00	0.27	0.22	0.34
AFF4	1.00e0	9.21e-1	0.00	0.38	0.32	0.44
ZC3H13	1.00e0	9.22e-1	0.00	0.29	0.23	0.35
SCUBE3	1.00e0	9.23e-1	0.00	0.40	0.36	0.45
KIAA2018	1.00e0	9.23e-1	0.00	0.39	0.32	0.45
AFAP1	1.00e0	9.24e-1	0.00	0.26	0.22	0.38
CENPF	1.00e0	9.25e-1	0.00	0.41	0.29	0.45
FYCO1	1.00e0	9.26e-1	0.00	0.25	0.20	0.29
NF1	1.00e0	9.26e-1	0.00	0.38	0.20	0.41
NKTR	1.00e0	9.27e-1	0.00	0.28	0.20	0.34
REV3L	1.00e0	9.28e-1	0.00	0.30	0.26	0.42
KIDINS220	1.00e0	9.28e-1	0.00	0.20	0.11	0.28
SIPA1L3	1.00e0	9.29e-1	0.00	0.37	0.31	0.42
PCNX	1.00e0	9.29e-1	0.00	0.27	0.23	0.32
DOCK7	1.00e0	9.30e-1	0.00	0.33	0.26	0.39
HELZ2	1.00e0	9.31e-1	0.00	0.34	0.25	0.40
PLXNA1	1.00e0	9.31e-1	0.00	0.22	0.21	0.37
USP34	1.00e0	9.32e-1	0.00	0.16	0.10	0.26
ABCA2	1.00e0	9.32e-1	0.00	0.22	0.21	0.39
MAN1A2	1.00e0	9.33e-1	0.00	0.33	0.23	0.36
DIP2C	1.00e0	9.34e-1	0.00	0.40	0.32	0.44
BRCA2	1.00e0	9.34e-1	0.00	0.37	0.31	0.42
ZFC3H1	1.00e0	9.35e-1	0.00	0.25	0.18	0.32
HERC2	1.00e0	9.35e-1	0.00	0.33	0.25	0.36
FAM208B	1.00e0	9.36e-1	0.00	0.30	0.27	0.36
ATP11A	1.00e0	9.36e-1	0.00	0.27	0.20	0.38
DSEL	1.00e0	9.37e-1	0.00	0.21	0.19	0.36
MED14	1.00e0	9.37e-1	0.00	0.37	0.30	0.42
KPNA4	1.00e0	9.38e-1	0.00	0.36	0.30	0.43
PIK3CA	1.00e0	9.38e-1	0.00	0.35	0.29	0.42
