cell	feat	expr_ev	expr_sd	expr_map	expr_ci_lower	expr_ci_upper	expr_naive
39	MANEA	1.07	1.4878	0	0	19	0
39	SHROOM2	1.08	1.4981	0	0	19	0
39	KLHL25	1.07	1.4878	0	0	19	0
39	MORC3	2.98	2.1444	1	0	10	2
39	BCL9	1.07	1.4878	0	0	19	0
39	CYFIP2	1.07	1.4879	0	0	19	0
39	SAMD9L	2.98	2.1444	1	0	10	2
39	QRICH2	1.07	1.4878	0	0	19	0
39	TPR	1.07	1.4929	0	0	19	0
39	PHRF1	4.86	2.6319	3	0	10	4
39	ARID4A	1.07	1.4930	0	0	19	0
39	KIF13A	1.07	1.4878	0	0	19	0
39	PCNX	1.07	1.4929	0	0	19	0
39	ZNF549	1.07	1.4877	0	0	19	0
39	POLG	1.07	1.4878	0	0	19	0
39	FAM13B	1.07	1.4929	0	0	19	0
39	SCAF8	1.07	1.4878	0	0	19	0
39	MAP3K5	1.08	1.4981	0	0	19	0
39	MCM8	1.07	1.4878	0	0	19	0
39	GPD1L	1.07	1.4879	0	0	19	0
39	ADCY6	1.07	1.4878	0	0	19	0
39	FAM126B	1.07	1.4877	0	0	19	0
39	ZMYM3	2.97	2.1379	1	0	10	2
39	PRKCA	1.08	1.4982	0	0	19	0
39	MTR	1.07	1.4878	0	0	19	0
39	POLR3A	1.07	1.4878	0	0	19	0
39	FKBP5	1.07	1.4930	0	0	19	0
39	MAPKBP1	4.86	2.6320	3	0	10	4
39	ZNF230	1.07	1.4930	0	0	19	0
39	SBNO1	2.97	2.1378	1	0	10	2
39	GTF3C1	1.08	1.4981	0	0	19	0
39	PPRC1	1.07	1.4929	0	0	19	0
39	ZNF614	1.08	1.5035	0	0	20	0
39	ZSCAN29	4.86	2.6318	3	0	10	4
39	PAPD7	2.97	2.1378	1	0	10	2
39	FBXO45	1.07	1.4879	0	0	19	0
39	ARID2	1.07	1.4878	0	0	19	0
39	FAM214A	1.07	1.4878	0	0	19	0
39	MKL2	1.07	1.4878	0	0	19	0
39	MAGI3	1.08	1.5034	0	0	20	0
39	TRO	1.07	1.4877	0	0	19	0
39	SPICE1	1.07	1.4930	0	0	19	0
39	TGS1	1.08	1.5034	0	0	20	0
39	CAND2	2.98	2.1445	1	0	10	2
39	PIGM	1.07	1.4878	0	0	19	0
39	FOXK2	1.07	1.4929	0	0	19	0
39	DMXL2	1.07	1.4929	0	0	19	0
39	AREL1	1.07	1.4929	0	0	19	0
39	DOCK5	1.07	1.4929	0	0	19	0
39	INPP4A	2.97	2.1379	1	0	10	2
39	KIF7	1.08	1.4980	0	0	19	0
39	UBE4B	1.07	1.4930	0	0	19	0
39	KREMEN1	1.07	1.4878	0	0	19	0
39	TICRR	1.07	1.4877	0	0	19	0
39	VWA8	1.07	1.4878	0	0	19	0
39	FOXK1	1.08	1.4982	0	0	19	0
39	NPR2	1.07	1.4929	0	0	19	0
39	SLC12A7	1.07	1.4930	0	0	19	0
39	DMD	1.07	1.4930	0	0	19	0
39	SLC9A6	3.01	2.1577	1	0	10	2
39	USP6NL	1.07	1.4930	0	0	19	0
39	ZHX3	1.07	1.4879	0	0	19	0
39	ITGA6	1.07	1.4878	0	0	19	0
39	RFX7	1.08	1.4982	0	0	19	0
39	SYNJ2	1.07	1.4879	0	0	19	0
39	AGGF1	1.08	1.4981	0	0	19	0
39	TMEM194A	1.07	1.4878	0	0	19	0
39	LAMA1	4.86	2.6318	3	0	10	4
39	TAF2	1.07	1.4878	0	0	19	0
39	CD2AP	1.07	1.4929	0	0	19	0
39	ZNF526	1.07	1.4877	0	0	19	0
39	FITM2	1.07	1.4878	0	0	19	0
39	ANKRD26	1.07	1.4929	0	0	19	0
39	AMOTL1	1.07	1.4929	0	0	19	0
39	MCM3AP	1.07	1.4878	0	0	19	0
39	TOPORS	1.07	1.4929	0	0	19	0
39	KAT6A	1.07	1.4877	0	0	19	0
39	CASC7	2.97	2.1378	1	0	10	2
39	HPS4	1.07	1.4877	0	0	19	0
39	MBLAC2	1.07	1.4878	0	0	19	0
39	B3GALTL	2.97	2.1379	1	0	10	2
39	KLF3	1.07	1.4929	0	0	19	0
39	MAML2	1.07	1.4878	0	0	19	0
39	TMEM246	2.97	2.1378	1	0	10	2
39	LNPEP	1.07	1.4878	0	0	19	0
39	SIRT1	1.07	1.4877	0	0	19	0
39	PAXIP1	1.07	1.4929	0	0	19	0
39	CYP2U1	1.07	1.4878	0	0	19	0
39	ETV3	1.07	1.4929	0	0	19	0
39	SIPA1L3	1.07	1.4929	0	0	19	0
39	DUSP16	2.97	2.1377	1	0	10	2
39	NEK1	2.97	2.1378	1	0	10	2
39	RASGRF2	1.07	1.4878	0	0	19	0
39	DDX26B	1.07	1.4929	0	0	19	0
39	REV1	1.07	1.4878	0	0	19	0
39	FAM208B	1.07	1.4878	0	0	19	0
39	SPRY4	1.07	1.4930	0	0	19	0
39	RC3H1	2.97	2.1377	1	0	10	2
39	ELMSAN1	1.08	1.4980	0	0	19	0
39	AGL	1.08	1.4981	0	0	19	0
39	FOXJ2	1.07	1.4878	0	0	19	0
39	ZSCAN20	1.07	1.4878	0	0	19	0
39	OSBPL5	2.97	2.1377	1	0	10	2
39	GPRIN1	4.86	2.6319	3	0	10	4
39	NACC2	1.08	1.4982	0	0	19	0
39	KIF16B	1.08	1.4981	0	0	19	0
39	KCNMA1	1.07	1.4878	0	0	19	0
39	ARHGEF6	1.07	1.4877	0	0	19	0
39	UBE2O	1.07	1.4929	0	0	19	0
39	ASCC3	1.07	1.4878	0	0	19	0
39	CLSPN	1.07	1.4878	0	0	19	0
39	RP11-121C2.2	1.07	1.4878	0	0	19	0
39	ANGEL1	4.89	2.6397	3	0	10	4
39	NCOA1	1.07	1.4877	0	0	19	0
39	TANGO6	1.07	1.4878	0	0	19	0
39	KDM1B	1.07	1.4929	0	0	19	0
39	NOL9	1.07	1.4878	0	0	19	0
39	RAB22A	3.01	2.1578	1	0	10	2
39	SIPA1L2	1.08	1.5034	0	0	20	0
39	LRP5	1.07	1.4878	0	0	19	0
39	LPPR4	2.98	2.1445	1	0	10	2
39	LSM11	1.09	1.5138	0	0	20	0
39	HEATR6	1.07	1.4877	0	0	19	0
39	KIF18B	4.86	2.6319	3	0	10	4
39	MIB1	1.07	1.4929	0	0	19	0
39	CACNA1C	1.08	1.4980	0	0	19	0
39	TCOF1	1.07	1.4878	0	0	19	0
39	ARL3	1.07	1.4878	0	0	19	0
39	AKAP11	1.07	1.4879	0	0	19	0
39	ALPK2	1.08	1.4981	0	0	19	0
39	RPRD1B	1.07	1.4879	0	0	19	0
39	FLRT3	1.08	1.4981	0	0	19	0
39	C17orf51	1.07	1.4877	0	0	19	0
39	CAPN15	2.98	2.1445	1	0	10	2
39	KIF15	1.07	1.4930	0	0	19	0
39	GSE1	1.07	1.4878	0	0	19	0
39	SPRED2	1.07	1.4877	0	0	19	0
39	RASAL2	2.97	2.1378	1	0	10	2
39	AGPS	1.07	1.4930	0	0	19	0
39	ZSCAN30	1.07	1.4930	0	0	19	0
39	LPHN3	1.07	1.4929	0	0	19	0
39	CLOCK	1.08	1.4981	0	0	19	0
39	ZNF516	1.07	1.4878	0	0	19	0
39	ZBTB24	4.89	2.6397	3	0	10	4
39	C2CD5	2.97	2.1379	1	0	10	2
39	ZFYVE26	1.07	1.4929	0	0	19	0
39	FAM217B	1.07	1.4878	0	0	19	0
39	RP11-496N12.9	2.97	2.1377	1	0	10	2
39	SP4	1.09	1.5086	0	0	20	0
39	ADNP	2.98	2.1444	1	0	10	2
39	CEP250	1.07	1.4877	0	0	19	0
39	NUP214	2.99	2.1509	1	0	10	2
39	TOX	1.09	1.5139	0	0	20	0
39	FAM53C	1.08	1.4982	0	0	19	0
39	CREBL2	1.07	1.4877	0	0	19	0
39	ZBTB6	1.08	1.4980	0	0	19	0
39	ANKRD50	1.08	1.4981	0	0	19	0
39	CLTCL1	1.07	1.4878	0	0	19	0
39	PRDM4	1.07	1.4878	0	0	19	0
39	ANKFY1	1.07	1.4930	0	0	19	0
39	SHC4	2.98	2.1443	1	0	10	2
39	PRMT10	2.97	2.1378	1	0	10	2
39	MAFG	1.07	1.4929	0	0	19	0
39	NHLRC2	1.07	1.4878	0	0	19	0
39	GBF1	1.07	1.4878	0	0	19	0
39	C18orf25	1.07	1.4878	0	0	19	0
39	DENND4C	4.86	2.6318	3	0	10	4
39	NOTCH3	1.07	1.4878	0	0	19	0
39	APC	1.07	1.4878	0	0	19	0
39	CRY2	1.07	1.4930	0	0	19	0
39	GJA3	1.07	1.4930	0	0	19	0
39	AFAP1	1.07	1.4878	0	0	19	0
39	NUMA1	1.07	1.4878	0	0	19	0
39	AVL9	1.07	1.4929	0	0	19	0
39	ERCC6L	1.08	1.4981	0	0	19	0
39	RAP1GAP2	1.07	1.4929	0	0	19	0
39	FAM26E	1.07	1.4877	0	0	19	0
39	NINL	4.95	2.6632	3	0	10	4
39	KIAA1551	1.07	1.4929	0	0	19	0
39	LDLR	4.86	2.6318	3	0	10	4
39	LYRM7	1.08	1.4981	0	0	19	0
39	CUL7	1.07	1.4877	0	0	19	0
39	LRRC58	2.97	2.1378	1	0	10	2
39	LOXL4	1.08	1.4982	0	0	19	0
39	FBXO30	1.07	1.4878	0	0	19	0
39	PDE7B	2.98	2.1444	1	0	10	2
39	RCAN3	1.08	1.4982	0	0	19	0
39	RAD54L2	1.07	1.4930	0	0	19	0
39	UTP20	4.89	2.6398	3	0	10	4
39	MPP5	4.89	2.6397	3	0	10	4
39	PEX1	2.97	2.1378	1	0	10	2
39	DTX4	4.89	2.6397	3	0	10	4
39	SMURF1	1.07	1.4878	0	0	19	0
39	EXOC2	1.07	1.4878	0	0	19	0
39	MED14	1.07	1.4930	0	0	19	0
39	MMGT1	1.07	1.4878	0	0	19	0
39	CARD6	1.07	1.4878	0	0	19	0
39	RNF123	1.07	1.4930	0	0	19	0
39	IPO9	1.07	1.4930	0	0	19	0
39	RNF213	1.07	1.4878	0	0	19	0
39	TNFAIP3	1.07	1.4930	0	0	19	0
39	CEP192	1.07	1.4878	0	0	19	0
39	ARHGAP29	2.97	2.1379	1	0	10	2
39	DMXL1	1.07	1.4878	0	0	19	0
39	OXTR	1.07	1.4929	0	0	19	0
39	GTF3C2	1.07	1.4879	0	0	19	0
39	DDX60	1.07	1.4879	0	0	19	0
39	PHF13	8.66	3.4117	7	2	15	8
39	THADA	1.07	1.4930	0	0	19	0
39	FAM198B	2.97	2.1379	1	0	10	2
39	GIGYF1	1.07	1.4878	0	0	19	0
39	ITGA7	2.98	2.1444	1	0	10	2
39	FNIP1	2.98	2.1444	1	0	10	2
39	GTF3C4	1.07	1.4878	0	0	19	0
39	PRDM2	1.07	1.4878	0	0	19	0
39	LSM3	1.07	1.4930	0	0	19	0
39	MCM2	2.97	2.1379	1	0	10	2
39	ZZEF1	1.07	1.4878	0	0	19	0
39	PRKD1	1.07	1.4877	0	0	19	0
39	IGF2R	1.07	1.4878	0	0	19	0
39	SNX30	1.07	1.4929	0	0	19	0
39	EXO1	1.07	1.4879	0	0	19	0
39	CNTRL	1.07	1.4930	0	0	19	0
39	C16orf72	1.07	1.4929	0	0	19	0
39	SOX11	2.98	2.1445	1	0	10	2
39	KIAA2018	1.07	1.4878	0	0	19	0
39	ADAM17	2.97	2.1379	1	0	10	2
39	H6PD	1.07	1.4929	0	0	19	0
39	ABCA2	1.07	1.4878	0	0	19	0
39	CLCN7	1.07	1.4877	0	0	19	0
39	NCKAP5L	1.07	1.4878	0	0	19	0
39	GPAM	4.86	2.6319	3	0	10	4
39	VASH1	1.08	1.5035	0	0	20	0
39	BROX	1.08	1.4980	0	0	19	0
39	ZKSCAN2	1.07	1.4929	0	0	19	0
39	ZNF687	1.08	1.4981	0	0	19	0
39	REV3L	1.07	1.4929	0	0	19	0
39	ZCCHC6	1.07	1.4877	0	0	19	0
39	SLC7A6OS	1.07	1.4877	0	0	19	0
39	TBC1D22B	1.07	1.4930	0	0	19	0
39	VPS13D	1.07	1.4878	0	0	19	0
39	LEMD3	1.07	1.4930	0	0	19	0
39	CNTLN	1.07	1.4878	0	0	19	0
39	HECTD2	1.07	1.4878	0	0	19	0
39	TPCN1	1.07	1.4877	0	0	19	0
39	WDR66	2.97	2.1378	1	0	10	2
39	SLC12A6	4.86	2.6319	3	0	10	4
39	ZNF41	1.07	1.4930	0	0	19	0
39	LRCH2	1.07	1.4878	0	0	19	0
39	WDR5B	1.07	1.4878	0	0	19	0
39	VANGL1	1.08	1.4980	0	0	19	0
39	FAM83G	1.07	1.4930	0	0	19	0
39	MYPN	1.07	1.4878	0	0	19	0
39	URB2	1.07	1.4879	0	0	19	0
39	ZBED1	1.07	1.4930	0	0	19	0
39	ZNF652	2.98	2.1444	1	0	10	2
39	NPAT	1.07	1.4878	0	0	19	0
39	SLC1A1	1.07	1.4878	0	0	19	0
39	LSS	1.08	1.4981	0	0	19	0
39	ORC2	2.98	2.1444	1	0	10	2
39	CEP85	4.86	2.6318	3	0	10	4
39	HMGXB3	2.99	2.1511	1	0	10	2
39	ARHGEF9	1.07	1.4877	0	0	19	0
39	SFXN5	2.97	2.1378	1	0	10	2
39	TRIM37	1.07	1.4878	0	0	19	0
39	DTX3L	1.08	1.4980	0	0	19	0
39	ZMAT3	1.07	1.4929	0	0	19	0
39	DHX37	1.08	1.5034	0	0	20	0
39	SNPH	1.07	1.4930	0	0	19	0
39	BOD1L1	1.07	1.4878	0	0	19	0
39	INTS3	1.07	1.4878	0	0	19	0
39	ZNF470	2.98	2.1446	1	0	10	2
39	VSIG10	1.07	1.4930	0	0	19	0
39	NFX1	1.07	1.4930	0	0	19	0
39	AMMECR1L	1.07	1.4878	0	0	19	0
39	ZFAT	1.07	1.4878	0	0	19	0
39	DIP2C	1.07	1.4877	0	0	19	0
39	POLR1A	1.07	1.4878	0	0	19	0
39	ZBTB11	1.08	1.5034	0	0	20	0
39	CUL9	1.09	1.5087	0	0	20	0
39	ZNF354C	1.07	1.4930	0	0	19	0
39	SLC30A4	1.07	1.4878	0	0	19	0
39	TRERF1	2.98	2.1445	1	0	10	2
39	FAM46C	1.07	1.4878	0	0	19	0
39	STAT5B	1.07	1.4877	0	0	19	0
39	ERVK13-1	1.08	1.4980	0	0	19	0
39	NRDE2	1.07	1.4878	0	0	19	0
39	DNA2	1.08	1.4981	0	0	19	0
39	NSMAF	1.07	1.4878	0	0	19	0
39	USP20	8.66	3.4118	7	2	15	8
39	SSH2	3.01	2.1578	1	0	10	2
39	KIAA2026	1.07	1.4878	0	0	19	0
39	BRI3BP	1.07	1.4930	0	0	19	0
39	TUBGCP4	1.07	1.4878	0	0	19	0
39	SEC24B	6.76	3.0469	5	1	13	6
39	DNAJC13	4.86	2.6319	3	0	10	4
39	SETD2	1.08	1.4981	0	0	19	0
39	ERI1	1.07	1.4878	0	0	19	0
39	BLM	1.07	1.4878	0	0	19	0
39	AKAP8	1.07	1.4929	0	0	19	0
39	XPO5	6.76	3.0469	5	1	13	6
39	COL7A1	1.07	1.4878	0	0	19	0
39	GREM2	1.07	1.4878	0	0	19	0
39	ZNF813	1.07	1.4879	0	0	19	0
39	MED15	1.07	1.4930	0	0	19	0
39	RNMT	2.99	2.1509	1	0	10	2
39	DHX8	1.07	1.4878	0	0	19	0
39	FAM13A	1.07	1.4929	0	0	19	0
39	RAPGEF6	1.07	1.4930	0	0	19	0
39	C14orf132	2.98	2.1443	1	0	10	2
39	BMPER	2.97	2.1379	1	0	10	2
39	RBM19	1.07	1.4929	0	0	19	0
39	DIS3L	1.07	1.4878	0	0	19	0
39	AFF4	1.07	1.4878	0	0	19	0
39	ZFPM2	1.07	1.4878	0	0	19	0
39	LLGL1	1.07	1.4877	0	0	19	0
39	ASAP3	1.07	1.4877	0	0	19	0
39	ZNF202	1.07	1.4879	0	0	19	0
39	ATP9A	1.08	1.4981	0	0	19	0
39	SMG1	1.07	1.4878	0	0	19	0
39	WWC3	2.97	2.1379	1	0	10	2
39	SENP5	2.97	2.1379	1	0	10	2
39	POGZ	2.97	2.1378	1	0	10	2
39	ITSN2	1.07	1.4929	0	0	19	0
39	VPS13A	2.98	2.1443	1	0	10	2
39	B4GALT5	1.07	1.4878	0	0	19	0
39	ALMS1	1.07	1.4878	0	0	19	0
39	CCSER2	1.07	1.4929	0	0	19	0
39	EXOC6B	1.07	1.4930	0	0	19	0
39	CDC42BPA	1.07	1.4878	0	0	19	0
39	ARSG	1.07	1.4878	0	0	19	0
39	NF1	1.07	1.4878	0	0	19	0
39	ARL10	1.07	1.4930	0	0	19	0
39	ELF4	1.07	1.4929	0	0	19	0
39	RP11-159D12.9	1.08	1.4980	0	0	19	0
39	CNTN3	1.07	1.4877	0	0	19	0
39	SVEP1	1.07	1.4877	0	0	19	0
39	DOCK7	1.07	1.4878	0	0	19	0
39	BRIP1	1.07	1.4877	0	0	19	0
39	WDR37	1.07	1.4877	0	0	19	0
39	KIAA1462	4.86	2.6319	3	0	10	4
39	ARHGEF10L	1.07	1.4877	0	0	19	0
39	HIPK1	1.07	1.4929	0	0	19	0
39	ITPRIP	1.07	1.4930	0	0	19	0
39	CHST3	1.07	1.4878	0	0	19	0
39	SLC9A5	1.07	1.4878	0	0	19	0
39	SEMA4F	1.07	1.4879	0	0	19	0
39	KDM3B	1.07	1.4929	0	0	19	0
39	C10orf12	1.07	1.4877	0	0	19	0
39	NCOA6	1.07	1.4877	0	0	19	0
39	SMCR8	2.97	2.1378	1	0	10	2
39	RELN	1.07	1.4878	0	0	19	0
39	MARCH4	4.86	2.6320	3	0	10	4
39	ZSCAN22	2.98	2.1444	1	0	10	2
39	TBCD	1.08	1.4980	0	0	19	0
39	DCBLD1	4.86	2.6320	3	0	10	4
39	NUFIP2	1.07	1.4878	0	0	19	0
39	CSTF2T	1.08	1.5034	0	0	20	0
39	ZNF697	1.07	1.4929	0	0	19	0
39	TEX2	1.07	1.4930	0	0	19	0
39	IGHMBP2	1.07	1.4878	0	0	19	0
39	ROCK2	1.07	1.4878	0	0	19	0
39	EHD3	1.07	1.4878	0	0	19	0
39	ZNF317	1.07	1.4878	0	0	19	0
39	AP4E1	1.07	1.4930	0	0	19	0
39	UNC13B	6.76	3.0469	5	1	13	6
39	SLC25A44	1.07	1.4930	0	0	19	0
39	GPR155	1.07	1.4877	0	0	19	0
39	TIMELESS	1.07	1.4878	0	0	19	0
39	SLC5A3	4.86	2.6319	3	0	10	4
39	CCNF	2.98	2.1445	1	0	10	2
39	NIPAL2	4.87	2.6321	3	0	10	4
39	FAN1	1.07	1.4878	0	0	19	0
39	ATR	2.99	2.1511	1	0	10	2
39	SLC24A1	4.86	2.6320	3	0	10	4
39	TTPAL	1.07	1.4878	0	0	19	0
39	DSEL	2.98	2.1445	1	0	10	2
39	ARFGEF2	1.07	1.4878	0	0	19	0
39	ITGA11	1.07	1.4878	0	0	19	0
39	FAM8A1	1.07	1.4878	0	0	19	0
39	LUZP1	6.76	3.0469	5	1	13	6
39	NEDD9	2.98	2.1443	1	0	10	2
39	DARS2	2.98	2.1444	1	0	10	2
39	LRRK1	1.07	1.4930	0	0	19	0
39	MAN1A2	1.07	1.4878	0	0	19	0
39	CSPG4	2.98	2.1444	1	0	10	2
39	AFAP1L1	4.89	2.6398	3	0	10	4
39	HELZ2	1.07	1.4878	0	0	19	0
39	KIAA0754	1.07	1.4930	0	0	19	0
39	NES	1.07	1.4930	0	0	19	0
39	WDR91	1.07	1.4878	0	0	19	0
39	TJP2	1.07	1.4878	0	0	19	0
39	CDKL5	1.07	1.4878	0	0	19	0
39	MKI67	1.07	1.4929	0	0	19	0
39	RAP2B	1.07	1.4878	0	0	19	0
39	IKZF5	1.07	1.4929	0	0	19	0
39	SYTL4	2.97	2.1379	1	0	10	2
39	ZBTB39	2.97	2.1378	1	0	10	2
39	TTLL4	1.07	1.4930	0	0	19	0
39	NOTCH1	1.08	1.5035	0	0	20	0
39	ZC3H13	1.07	1.4929	0	0	19	0
39	LPIN3	1.07	1.4878	0	0	19	0
39	CBX5	1.07	1.4929	0	0	19	0
39	CEP41	1.07	1.4929	0	0	19	0
39	USP24	4.89	2.6398	3	0	10	4
39	WDR55	4.87	2.6321	3	0	10	4
39	PRPF8	1.07	1.4877	0	0	19	0
39	RFX5	1.07	1.4929	0	0	19	0
39	AHCTF1P1	2.97	2.1378	1	0	10	2
39	PHKA2	2.99	2.1510	1	0	10	2
39	LRRC2	1.07	1.4878	0	0	19	0
39	IQSEC1	1.07	1.4878	0	0	19	0
39	SLC4A8	2.98	2.1444	1	0	10	2
39	MLLT11	1.07	1.4879	0	0	19	0
39	PRKDC	1.07	1.4929	0	0	19	0
39	ALPK1	1.07	1.4878	0	0	19	0
39	DHX34	1.07	1.4929	0	0	19	0
39	CACNA1A	1.07	1.4878	0	0	19	0
39	STYX	1.07	1.4877	0	0	19	0
39	MTF1	1.07	1.4878	0	0	19	0
39	SLC18A2	1.07	1.4878	0	0	19	0
39	FAM131B	1.07	1.4930	0	0	19	0
39	CENPJ	1.07	1.4929	0	0	19	0
39	MSH3	4.91	2.6475	3	0	10	4
39	CDKN2B	2.97	2.1378	1	0	10	2
39	ZNF25	1.07	1.4878	0	0	19	0
39	REST	1.07	1.4878	0	0	19	0
39	WDR59	2.97	2.1378	1	0	10	2
39	ACSL1	1.07	1.4879	0	0	19	0
39	ARID1A	1.07	1.4878	0	0	19	0
39	ZNF142	2.97	2.1378	1	0	10	2
39	MCUR1	2.97	2.1378	1	0	10	2
39	EFNB2	4.91	2.6476	3	0	10	4
39	NSD1	1.08	1.5035	0	0	20	0
39	CHD6	2.97	2.1378	1	0	10	2
39	TTI1	1.08	1.4981	0	0	19	0
39	DOPEY1	2.97	2.1379	1	0	10	2
39	ADAMTS3	2.97	2.1378	1	0	10	2
39	FAM179B	1.08	1.4981	0	0	19	0
39	USP9X	1.07	1.4929	0	0	19	0
39	GLTSCR1L	2.97	2.1379	1	0	10	2
39	PLXNA3	2.97	2.1379	1	0	10	2
39	PDS5B	1.07	1.4878	0	0	19	0
39	IQGAP3	1.07	1.4930	0	0	19	0
39	DZIP3	1.07	1.4930	0	0	19	0
39	MEX3A	1.07	1.4930	0	0	19	0
39	GID4	1.07	1.4878	0	0	19	0
39	SH3BGRL2	1.07	1.4879	0	0	19	0
39	SNIP1	1.07	1.4878	0	0	19	0
39	RUNX2	1.08	1.4981	0	0	19	0
39	HCFC1	1.07	1.4877	0	0	19	0
39	SSH1	1.08	1.4981	0	0	19	0
39	UHRF1BP1	1.07	1.4878	0	0	19	0
39	GOLGA8A	1.07	1.4930	0	0	19	0
39	NAPEPLD	1.07	1.4929	0	0	19	0
39	PTPLAD2	1.07	1.4878	0	0	19	0
39	SMC6	1.07	1.4929	0	0	19	0
39	KANK1	1.08	1.5033	0	0	20	0
39	CABIN1	1.08	1.4981	0	0	19	0
39	BAHD1	1.07	1.4877	0	0	19	0
39	TTF2	1.07	1.4878	0	0	19	0
39	TBC1D9	1.07	1.4878	0	0	19	0
39	ARIH1	1.07	1.4878	0	0	19	0
39	OFD1	1.07	1.4878	0	0	19	0
39	VPS39	4.86	2.6319	3	0	10	4
39	UBOX5	1.07	1.4878	0	0	19	0
39	ZNF304	1.07	1.4879	0	0	19	0
39	ZNF275	1.07	1.4877	0	0	19	0
39	NCAPD3	1.07	1.4877	0	0	19	0
39	ZNF407	8.66	3.4117	7	2	15	8
39	CIT	1.07	1.4877	0	0	19	0
39	ZSWIM6	1.07	1.4878	0	0	19	0
39	SV2A	2.97	2.1378	1	0	10	2
39	SERAC1	2.97	2.1377	1	0	10	2
39	ST3GAL2	1.07	1.4929	0	0	19	0
39	SLC30A1	1.07	1.4929	0	0	19	0
39	C7orf41	4.91	2.6476	3	0	10	4
39	ANKRD32	1.07	1.4877	0	0	19	0
39	HERC1	1.07	1.4877	0	0	19	0
39	KLF9	1.07	1.4929	0	0	19	0
39	VPS13C	1.07	1.4878	0	0	19	0
39	PDE10A	1.09	1.5086	0	0	20	0
39	LPCAT2	1.07	1.4930	0	0	19	0
39	ATP10A	1.07	1.4879	0	0	19	0
39	POLR3B	1.07	1.4878	0	0	19	0
39	KDM4A	1.07	1.4878	0	0	19	0
39	POLQ	1.08	1.5034	0	0	20	0
39	SCUBE3	1.07	1.4929	0	0	19	0
39	DAAM2	1.07	1.4930	0	0	19	0
39	OSBPL6	1.07	1.4930	0	0	19	0
39	SOGA1	1.07	1.4930	0	0	19	0
