cell	feat	expr_map	expr_ci_lower	expr_ci_upper	expr_naive
45	RNF169	0	0	2	0
45	SLC38A1	14	10	20	15
45	PRKCA	14	11	20	15
45	NUP98	6	3	10	6
45	CASC5	0	0	2	0
45	ALPK2	5	2	8	5
45	LUZP1	15	11	20	15
45	GTF3C1	11	7	16	11
45	CACNA1A	1	0	4	1
45	SMARCA5	42	35	50	42
45	GTF3C4	2	0	5	2
45	AKAP11	0	0	2	0
45	MED14	6	3	10	6
45	EGFR	1	0	4	1
45	VCAN	11	7	16	11
45	DNAJC13	5	2	8	5
45	UBR5	13	9	19	14
45	FBN2	4	2	8	5
45	ANKRD52	40	33	48	40
45	FRY	1	0	4	1
45	TEAD1	25	20	32	26
45	HIVEP2	5	2	8	5
45	PTPN14	12	8	17	12
45	C17orf51	2	0	5	2
45	FBN1	16	11	21	16
45	PAPPA	8	5	13	9
45	DSEL	2	0	5	2
45	COL5A1	39	33	48	40
45	DOPEY1	0	0	2	0
45	FLNC	58	49	67	59
45	USP34	3	1	7	4
45	CHD8	6	3	10	6
45	REV3L	0	0	2	0
45	ARL10	0	0	2	0
45	BRCA2	0	0	2	0
45	KIAA1147	0	0	2	0
45	SPTAN1	26	21	33	26
45	ALMS1	1	0	4	1
45	AFF4	3	1	7	4
45	FLNB	12	8	17	12
45	USP24	2	0	5	3
45	PIEZO1	7	4	11	8
45	ROCK2	24	19	31	25
45	PHIP	0	0	2	0
45	VPS13A	0	0	2	0
45	SCUBE3	1	0	4	1
45	KIAA1462	28	23	35	29
45	DIP2B	6	3	10	6
45	CEP250	3	2	7	4
45	CBX5	19	14	25	20
45	ZFC3H1	2	0	5	2
45	MKI67	0	0	2	0
45	KIAA1199	34	28	42	35
45	DIEXF	0	0	2	0
45	ITGA2	3	1	7	4
45	USP9X	11	7	16	11
45	CBL	0	0	2	0
44	VPS13D	1	0	4	1
44	DYNC1H1	18	14	24	19
44	KIDINS220	6	3	10	6
44	POLQ	1	0	4	1
44	ANKRD52	13	10	19	14
44	MKI67	47	40	56	47
44	TNRC6A	3	1	7	4
44	CBL	0	0	2	0
44	SLC7A11	4	2	8	5
44	HIVEP2	0	0	2	0
44	SVEP1	9	6	14	10
44	CEP250	2	1	5	2
44	NUP98	8	5	13	9
44	KIAA1199	59	51	69	60
44	FOSB	7	4	11	7
44	LYST	0	0	2	0
44	DIP2C	3	1	7	4
44	DNAJC13	1	0	4	1
44	ZFC3H1	3	1	7	4
44	MED14	1	0	4	1
44	EGFR	6	3	10	6
44	MALAT1	12	8	17	12
44	DOCK7	2	0	5	2
44	FASN	3	1	7	4
44	KIAA1462	2	0	5	2
44	TMOD2	0	0	2	0
44	RNF169	2	0	5	2
44	PHIP	1	0	4	1
44	ABCA2	1	0	4	1
44	ASCC3	0	0	2	0
44	PRKCA	2	0	5	2
44	UBR2	0	0	2	0
44	UBR5	16	11	21	16
44	USP34	1	0	4	1
44	SLC5A3	1	0	4	1
44	FAM208B	4	2	8	5
44	SPTBN1	29	24	37	30
44	ARL10	1	0	4	1
44	FLNC	36	29	43	36
44	FBN1	21	16	27	21
44	C14orf132	11	8	16	11
44	TEAD1	27	21	34	27
44	BRCA2	0	0	2	0
44	HERC2	12	8	17	12
44	LUZP1	7	4	11	7
44	KPNA4	3	1	7	4
44	C17orf51	0	0	2	0
44	IGF2R	33	27	41	34
44	ALMS1	0	0	2	0
44	KIAA2018	0	0	2	0
44	DOPEY1	0	0	2	0
44	KIAA1147	0	0	2	0
44	ATP11A	0	0	2	0
44	SSH1	3	1	7	4
44	USP9X	3	1	7	4
44	NUMA1	9	6	14	10
44	PRRC2B	6	3	10	6
44	SIPA1L3	6	3	10	6
44	DIEXF	0	0	2	0
44	GPR107	19	15	26	20
44	AKAP11	0	0	2	0
44	FZD4	1	0	4	1
44	ALPK2	1	0	4	1
44	ZC3H13	8	5	13	9
44	LMTK2	0	0	2	0
44	AFF4	0	0	2	0
44	CENPF	13	10	19	14
44	NRIP1	8	5	13	9
44	PLXNA1	8	5	13	9
44	THBS1	921	889	955	928
44	PDS5A	5	2	8	5
44	REV3L	2	0	5	2
44	HEATR5B	0	0	2	0
44	RAB3B	4	2	8	5
44	ROCK2	16	11	21	16
44	CBX5	33	27	40	34
44	SLC38A1	3	1	7	4
44	PCNX	5	2	8	5
44	GTF3C1	9	6	14	10
44	PIK3CA	0	0	2	0
44	PAPPA	6	3	10	6
44	QSER1	0	0	2	0
44	PRPF8	97	87	109	98
44	COL5A1	32	26	39	32
44	TPR	17	13	23	17
44	USP24	2	1	5	3
44	AGPS	0	0	2	0
44	SON	17	13	23	17
44	TNC	47	39	55	47
44	SRRM2	28	22	35	29
44	CASC5	2	0	5	2
44	SCUBE3	1	0	4	1
44	FYCO1	1	0	4	1
44	NR4A1	6	3	10	6
44	MYH10	37	31	45	37
44	DIP2B	0	0	2	0
44	THSD4	6	3	10	6
44	FLNB	3	1	7	4
44	FBN2	70	61	81	71
44	FRY	0	0	2	0
44	IQGAP1	29	23	36	30
44	ITGA2	0	0	2	0
44	VCAN	3	1	7	4
44	NOTCH2	16	12	21	16
44	CREBBP	8	5	13	9
44	NKTR	1	0	4	1
44	DSEL	3	1	7	4
44	PIEZO1	8	5	13	9
44	VPS13A	2	0	5	2
44	PRKDC	14	10	20	15
44	PTPN14	11	7	16	11
44	STARD9	0	0	2	0
44	CKAP5	25	20	32	26
44	H6PD	2	0	5	2
44	AMOTL1	1	0	4	1
44	COL7A1	1	0	4	1
44	NF1	2	0	5	2
44	SMARCA5	34	28	42	35
44	HELZ2	0	0	2	0
44	HIVEP1	2	0	5	2
44	ZKSCAN2	0	0	2	0
44	TLN1	105	94	118	106
44	FLNA	391	370	414	395
44	LRP1	19	15	26	20
44	MAN1A2	0	0	2	0
44	CACNA1A	1	0	4	1
44	SPTAN1	52	44	61	52
44	CHD8	6	3	10	6
44	GTF3C4	0	0	2	0
44	AFAP1	11	7	16	11
31	FLNA	163	149	178	164
31	FOSB	2	0	5	2
31	CENPF	7	4	11	7
31	LMTK2	1	0	4	1
31	SLC38A1	11	7	16	11
31	MKI67	9	6	14	10
31	HIVEP1	2	0	5	2
31	LUZP1	3	1	7	4
31	FLNC	28	22	35	29
31	AFF4	1	0	4	1
31	SLC5A3	0	0	2	0
31	KIAA1199	6	3	10	6
31	TNC	79	69	90	80
31	FBN1	30	25	38	31
31	FAM208B	1	0	4	1
31	SVEP1	13	9	19	14
31	H6PD	3	1	7	4
31	TPR	8	5	13	9
31	C14orf132	6	3	10	6
31	UBR2	1	0	4	1
31	FASN	3	1	7	4
31	PRRC2B	13	9	19	14
31	NUMA1	41	34	49	41
31	CASC5	0	0	2	0
31	HELZ2	2	0	5	2
31	FZD4	2	0	5	2
31	SCUBE3	1	0	4	1
31	UBR5	11	7	16	11
31	SMARCA5	9	6	14	10
31	PIEZO1	8	5	13	9
31	CBL	0	0	2	0
31	RAB3B	0	0	2	0
31	FRY	0	0	2	0
31	TEAD1	22	17	28	22
31	HERC2	2	1	5	2
31	THBS1	942	910	977	947
31	ZKSCAN2	0	0	2	0
31	USP34	1	0	4	1
31	CHD8	3	1	7	4
31	FLNB	3	1	7	4
31	FYCO1	19	15	26	20
31	PIK3CA	0	0	2	0
31	PLXNA1	7	4	11	7
31	KIAA1147	0	0	2	0
31	BRCA2	0	0	2	0
31	AGPS	3	1	7	4
31	NUP98	3	1	7	4
31	COL5A1	43	36	52	44
31	TMOD2	1	0	4	1
31	RNF169	1	0	4	1
31	VPS13D	2	1	5	2
31	ZC3H13	6	3	10	6
31	REV3L	1	0	4	1
31	PRKDC	8	5	13	9
31	DOPEY1	0	0	2	0
31	ANKRD52	5	2	8	5
31	ALMS1	5	2	8	5
31	GPR107	16	11	21	16
31	DIP2B	0	0	2	0
31	USP9X	3	1	7	4
31	THSD4	6	3	10	6
31	AKAP11	3	1	7	4
31	MALAT1	54	46	63	55
31	VPS13A	1	0	4	1
31	KIDINS220	6	3	10	6
31	GTF3C4	1	0	4	1
31	SSH1	25	20	31	25
31	NF1	0	0	2	0
31	POLQ	1	0	4	1
31	DOCK7	2	0	5	2
31	ABCA2	2	0	5	2
31	LYST	1	0	4	1
31	ALPK2	6	3	10	6
31	VCAN	9	6	14	10
31	ASCC3	3	1	7	4
31	STARD9	1	0	4	1
31	DIP2C	2	1	5	3
31	CREBBP	16	12	21	16
31	PRKCA	12	8	17	12
31	LRP1	49	41	58	50
31	SIPA1L3	10	6	14	10
31	PHIP	0	0	2	0
31	MYH10	23	18	30	24
31	SPTAN1	41	34	49	41
31	QSER1	0	0	2	0
31	ROCK2	22	17	28	22
31	ITGA2	1	0	4	1
31	DSEL	9	6	14	10
31	AFAP1	12	8	17	12
31	ARL10	1	0	4	1
31	DNAJC13	2	0	5	2
31	PDS5A	3	1	7	4
31	KIAA2018	2	0	5	2
31	DYNC1H1	27	21	34	27
31	ZFC3H1	1	0	4	1
31	COL7A1	8	5	13	9
31	TNRC6A	5	2	8	5
31	USP24	7	4	11	8
31	IGF2R	31	25	38	31
31	SLC7A11	9	6	14	10
31	MED14	0	0	2	0
31	SPTBN1	11	7	16	11
31	SON	20	16	27	21
31	CKAP5	8	5	13	9
31	PTPN14	8	5	13	9
31	PAPPA	3	1	7	4
31	NR4A1	6	3	10	6
31	ATP11A	4	2	8	5
31	PRPF8	59	50	68	60
31	TLN1	65	57	75	66
31	NOTCH2	9	6	14	10
31	NRIP1	6	3	10	6
31	HIVEP2	0	0	2	0
31	CACNA1A	5	3	9	5
31	KIAA1462	12	8	17	12
31	MAN1A2	0	0	2	0
31	SRRM2	41	34	49	41
31	AMOTL1	3	1	7	4
31	CBX5	18	14	24	19
31	GTF3C1	8	5	13	9
31	IQGAP1	17	12	23	17
31	C17orf51	5	2	8	5
31	NKTR	9	6	14	10
31	EGFR	1	0	4	1
31	KPNA4	0	0	2	0
31	DIEXF	1	0	4	1
31	CEP250	6	4	10	6
31	PCNX	3	1	7	4
31	HEATR5B	0	0	2	0
31	FBN2	41	35	50	42
48	PCNX	2	0	5	2
48	KPNA4	2	0	5	2
48	FBN1	28	22	35	29
48	KIAA1199	88	78	100	90
48	SON	21	16	27	21
48	SRRM2	30	25	38	31
48	ABCA2	1	0	4	1
48	GPR107	17	12	23	17
48	PDS5A	1	0	4	1
48	FZD4	11	7	16	11
48	UBR5	22	17	28	22
48	PAPPA	19	14	25	20
48	MALAT1	14	10	20	15
48	GTF3C4	4	2	8	5
48	FASN	12	8	17	12
48	DIP2B	2	1	5	2
48	AFAP1	21	16	27	21
48	VCAN	13	9	19	14
48	CENPF	1	0	4	1
48	PRKCA	8	6	13	9
48	MED14	0	0	2	0
48	TMOD2	3	1	7	4
48	DIP2C	2	1	5	3
48	CBL	0	0	2	0
48	AMOTL1	3	1	7	4
48	THSD4	40	34	49	41
48	KIAA2018	8	5	13	9
48	CEP250	3	1	7	4
48	PRKDC	8	5	13	9
48	FYCO1	2	1	5	2
48	SLC38A1	7	4	11	7
48	DNAJC13	6	3	10	6
48	VPS13D	9	6	14	10
48	HIVEP1	13	9	18	14
48	IQGAP1	64	55	74	65
48	USP24	0	0	2	0
48	AKAP11	1	0	4	1
48	KIDINS220	6	3	10	6
48	MAN1A2	1	0	4	1
48	ALMS1	1	0	4	1
48	TLN1	142	129	156	144
48	SLC5A3	1	0	4	1
48	LUZP1	2	0	5	2
48	KIAA1147	0	0	2	0
48	LRP1	49	41	58	50
48	SCUBE3	22	17	28	23
48	NUMA1	6	3	10	6
48	DIEXF	3	1	7	4
48	SSH1	7	4	11	7
48	PRRC2B	6	3	10	6
48	UBR2	1	0	4	1
48	REV3L	1	0	4	1
48	C14orf132	8	5	13	9
48	HEATR5B	1	0	4	1
48	TNRC6A	11	7	16	11
48	HELZ2	1	0	4	1
48	SPTAN1	52	45	61	52
48	TPR	16	12	21	16
48	MKI67	3	1	7	4
48	CASC5	5	2	8	5
48	AFF4	4	2	8	5
48	FAM208B	5	2	8	5
48	BRCA2	3	1	7	4
48	DYNC1H1	27	21	34	27
48	ITGA2	1	0	4	1
48	LYST	6	3	10	6
48	USP34	14	10	20	15
48	ARL10	0	0	2	0
48	C17orf51	3	1	7	4
48	QSER1	0	0	2	0
48	ATP11A	4	2	8	5
48	SVEP1	8	5	13	9
48	THBS1	919	887	953	924
48	DOCK7	14	10	20	15
48	GTF3C1	13	10	19	14
48	COL7A1	1	0	4	1
48	NF1	8	5	13	9
48	CACNA1A	4	2	8	5
48	CBX5	14	10	20	15
48	SIPA1L3	16	11	21	16
48	ROCK2	16	11	21	16
48	ZC3H13	11	7	16	11
48	IGF2R	14	10	20	15
48	NUP98	3	1	7	4
48	COL5A1	173	159	189	175
48	NOTCH2	9	6	14	10
48	H6PD	7	4	11	7
48	STARD9	3	1	7	4
48	ALPK2	17	13	23	17
48	SLC7A11	6	3	10	6
48	EGFR	9	6	14	10
48	KIAA1462	23	18	30	24
48	TEAD1	40	33	49	41
48	HERC2	5	2	8	5
48	FLNC	71	63	82	72
48	LMTK2	1	0	4	1
48	ZFC3H1	1	0	4	1
48	FLNB	7	4	11	7
48	NRIP1	4	2	8	5
48	PHIP	0	0	2	0
48	PIK3CA	4	2	8	5
48	CHD8	3	1	7	4
48	HIVEP2	0	0	2	0
48	DOPEY1	2	1	5	3
48	FRY	6	3	10	6
48	CREBBP	7	4	11	7
48	USP9X	8	5	13	9
48	PRPF8	84	74	95	85
48	FLNA	576	550	603	580
48	AGPS	6	3	10	6
48	ASCC3	7	4	11	7
48	RNF169	9	6	14	10
48	CKAP5	12	8	17	12
48	NR4A1	6	3	10	6
48	MYH10	43	36	51	44
48	SMARCA5	46	39	55	47
48	PIEZO1	8	5	13	9
48	DSEL	2	0	5	2
48	ANKRD52	6	3	10	6
48	POLQ	0	0	2	0
48	PLXNA1	9	6	14	10
48	FBN2	79	69	90	80
48	SPTBN1	51	43	60	51
48	TNC	49	42	58	50
48	ZKSCAN2	4	2	8	5
48	NKTR	0	0	2	0
48	RAB3B	4	2	8	5
48	PTPN14	14	11	20	15
48	FOSB	6	3	10	6
48	VPS13A	0	0	2	0
4	SLC5A3	0	0	2	0
4	VPS13D	3	1	7	4
4	EGFR	6	3	10	6
4	NKTR	3	1	7	4
4	STARD9	0	0	2	0
4	TMOD2	2	0	5	2
4	IGF2R	101	91	114	102
4	NR4A1	11	7	16	11
4	FLNA	324	305	345	325
4	PIK3CA	0	0	2	0
4	KIAA2018	1	0	4	1
4	AKAP11	1	0	4	1
4	DIP2C	2	1	5	3
4	AFAP1	7	4	11	7
4	PIEZO1	15	11	20	15
4	DNAJC13	3	1	7	4
4	USP9X	6	3	10	6
4	VPS13A	0	0	2	0
4	THSD4	8	5	13	9
4	NUP98	1	0	4	1
4	COL7A1	8	5	13	9
4	C14orf132	0	0	2	0
4	UBR5	13	9	19	14
4	ZKSCAN2	1	0	4	1
4	PTPN14	5	2	8	5
4	VCAN	28	22	35	29
4	NF1	6	3	10	6
4	LRP1	87	77	99	89
4	IQGAP1	36	29	43	36
4	SSH1	10	6	14	10
4	SIPA1L3	2	0	5	2
4	DSEL	3	1	7	4
4	MKI67	3	1	7	4
4	LUZP1	0	0	2	0
4	FASN	11	7	16	11
4	FLNC	33	27	41	34
4	DIEXF	0	0	2	0
4	QSER1	0	0	2	0
4	ASCC3	2	0	5	2
4	CBL	3	1	7	4
4	DYNC1H1	32	26	40	32
4	HIVEP1	2	0	5	2
4	SLC38A1	7	4	11	7
4	HERC2	2	0	5	2
4	FLNB	12	9	17	12
4	ITGA2	1	0	4	1
4	POLQ	0	0	2	0
4	FBN1	54	46	63	55
4	DOCK7	3	1	7	4
4	PDS5A	3	1	7	4
4	ALPK2	8	5	13	9
4	MED14	0	0	2	0
4	DIP2B	1	0	4	1
4	HEATR5B	0	0	2	0
4	CACNA1A	1	0	4	1
4	PAPPA	64	55	74	65
4	PLXNA1	10	6	14	10
4	PRKCA	11	7	16	11
4	GPR107	22	17	28	22
4	KIAA1199	72	63	82	72
4	C17orf51	0	0	2	0
4	BRCA2	0	0	2	0
4	KIAA1462	21	16	27	21
4	DOPEY1	1	0	4	1
4	TNRC6A	0	0	2	0
4	HELZ2	0	0	2	0
4	HIVEP2	0	0	2	0
4	SRRM2	34	28	42	35
4	FZD4	0	0	2	0
4	CREBBP	12	8	17	12
4	RNF169	0	0	2	0
4	THBS1	1008	975	1044	1014
4	SLC7A11	7	4	11	7
4	GTF3C1	12	9	17	12
4	KIAA1147	0	0	2	0
4	SPTAN1	71	62	81	71
4	PRKDC	3	1	7	4
4	ABCA2	2	1	5	2
4	TLN1	84	74	95	85
4	LYST	0	0	2	0
4	KPNA4	0	0	2	0
4	ROCK2	17	12	23	17
4	TNC	43	36	51	44
4	SPTBN1	37	31	45	37
4	FBN2	119	108	133	121
4	USP34	2	0	5	2
4	COL5A1	174	160	189	175
4	FAM208B	2	0	5	2
4	FOSB	3	1	7	4
4	CASC5	0	0	2	0
4	CEP250	7	4	11	7
4	H6PD	4	2	8	5
4	PRRC2B	13	9	19	14
4	KIDINS220	2	1	5	2
4	GTF3C4	0	0	2	0
4	MAN1A2	0	0	2	0
4	ARL10	0	0	2	0
4	FRY	0	0	2	0
4	REV3L	1	0	4	1
4	SMARCA5	16	11	21	16
4	CHD8	2	1	5	2
4	FYCO1	1	0	4	1
4	CKAP5	8	5	13	9
4	PCNX	6	3	10	6
4	NRIP1	3	1	7	4
4	AFF4	3	1	7	4
4	TPR	10	7	14	10
4	NOTCH2	10	6	14	10
4	ATP11A	2	0	5	2
4	SVEP1	47	39	55	47
4	ZFC3H1	2	1	5	2
4	ALMS1	0	0	2	0
4	PHIP	0	0	2	0
4	SCUBE3	18	14	24	19
4	UBR2	1	0	4	1
4	RAB3B	1	0	4	1
4	AMOTL1	5	2	8	5
4	MYH10	11	7	16	11
4	CENPF	1	0	4	1
4	ANKRD52	7	4	11	7
4	AGPS	0	0	2	0
4	CBX5	8	5	13	9
4	SON	12	8	17	12
4	PRPF8	38	32	46	39
4	USP24	1	0	4	1
4	MALAT1	8	5	13	9
4	NUMA1	7	4	11	7
4	ZC3H13	2	0	5	2
4	LMTK2	0	0	2	0
4	TEAD1	21	16	27	21
47	DNAJC13	2	0	5	2
47	C17orf51	3	2	7	4
47	COL7A1	1	0	4	1
47	HERC2	7	4	11	7
47	TNC	56	49	66	57
47	KIAA1147	0	0	2	0
47	GPR107	4	2	8	5
47	LMTK2	2	0	5	2
47	IQGAP1	27	21	34	27
47	SLC5A3	1	0	4	1
47	NUMA1	2	0	5	2
47	CKAP5	11	7	16	11
47	VPS13D	2	0	5	2
47	EGFR	2	0	5	2
47	SLC7A11	3	1	7	4
47	DIP2C	2	0	5	3
47	SRRM2	38	31	46	39
47	ZC3H13	7	4	11	7
47	RAB3B	7	4	11	7
47	VPS13A	1	0	4	1
47	ASCC3	2	0	5	2
47	LYST	2	0	5	2
47	USP24	2	1	5	3
47	UBR5	24	19	31	25
47	ALMS1	0	0	2	0
47	THSD4	3	1	7	4
47	FBN1	22	17	28	22
47	PDS5A	8	5	13	9
47	MYH10	42	35	50	42
47	KPNA4	0	0	2	0
47	KIAA2018	0	0	2	0
47	SMARCA5	16	11	21	16
47	PRRC2B	28	22	35	29
47	PRKCA	9	6	14	10
47	FBN2	33	27	41	34
47	FLNC	29	23	36	30
47	GTF3C1	20	15	26	20
47	C14orf132	1	0	4	1
47	MAN1A2	0	0	2	0
47	PIK3CA	0	0	2	0
47	CACNA1A	0	0	2	0
47	LUZP1	8	5	13	9
47	GTF3C4	3	1	7	4
47	NF1	1	0	4	1
47	FLNB	0	0	2	0
47	ZFC3H1	1	0	4	1
47	FOSB	6	3	10	6
47	KIAA1199	24	19	31	25
47	COL5A1	62	53	71	62
47	TEAD1	38	31	46	39
47	SIPA1L3	7	4	11	7
47	CBX5	21	16	27	21
47	FLNA	250	233	269	253
47	CENPF	2	0	5	2
47	FASN	5	2	8	5
47	KIAA1462	11	7	16	11
47	MKI67	8	5	13	9
47	PIEZO1	6	3	10	6
47	H6PD	1	0	4	1
47	POLQ	0	0	2	0
47	USP9X	5	2	8	5
47	AFAP1	13	10	19	14
47	SSH1	14	11	20	15
47	LRP1	29	23	36	30
47	SPTAN1	48	41	57	49
47	THBS1	906	874	939	912
47	NOTCH2	8	5	13	9
47	HEATR5B	0	0	2	0
47	NKTR	0	0	2	0
47	ANKRD52	13	10	19	14
47	REV3L	1	0	4	1
47	SVEP1	6	3	10	6
47	CEP250	2	0	5	2
47	DIEXF	2	0	5	2
47	AGPS	1	0	4	1
47	UBR2	0	0	2	0
47	USP34	1	0	4	1
47	AKAP11	0	0	2	0
47	TNRC6A	7	4	11	7
47	FAM208B	2	0	5	2
47	CHD8	5	2	8	5
47	PLXNA1	13	9	19	14
47	ARL10	0	0	2	0
47	STARD9	0	0	2	0
47	PCNX	0	0	2	0
47	TMOD2	1	0	4	1
47	DIP2B	1	0	4	1
47	DOPEY1	0	0	2	0
47	ZKSCAN2	0	0	2	0
47	SCUBE3	4	2	8	5
47	RNF169	1	0	4	1
47	FYCO1	8	5	13	9
47	ALPK2	7	4	11	7
47	TPR	18	14	24	19
47	HIVEP1	0	0	2	0
47	DOCK7	7	4	11	7
47	SON	19	15	26	20
47	MED14	2	1	5	2
47	VCAN	13	9	19	14
47	NRIP1	7	4	11	7
